hgnc_symbol	affy_hg_u133a_2
SKA1	217640_x_at
SKA1	
METRNL	
KRTAP3-3	
LINC02066	
KRTAP2-3	
AADACL2-AS1	
RNU6-821P	
ZNF43	206695_x_at
ZNF43	222136_x_at
KRTAP4-12	
KRTAP1-4	
HERC2P2	
HERC2P2	217317_s_at
PAXBP1	
	216810_at
ZNF100	
C21orf62	220543_at
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	
MAPK4	
CPEB1	219578_s_at
CPEB1	
TBCD	201759_at
TBCD	211052_s_at
TBCD	
RNA5SP458	
LRRC56	
	204860_s_at
MPHOSPH10P9	
CTDP1-DT	
RPS6P22	
LRIG3-DT	
MAFIP	
SMN2	203852_s_at
SMN2	
TUBGCP5	214876_s_at
CTDP1	
DECR2	219664_s_at
DECR2	
MREGP1	
AP2A2	
AP2A2	211779_x_at
AP2A2	212161_at
AP2A2	212159_x_at
AP2A2	215764_x_at
SNTB2	
RPL4P5	200089_s_at
PHRF1	
UTP4	
SINHCAF	220147_s_at
SINHCAF	
MAD2L1-DT	
GART	
GART	212378_at
ABR	214671_s_at
ABR	212895_s_at
ABR	
MEGF11	
RPS5P3	
DNAJC28	220372_at
UGT2A3	219948_x_at
	211942_x_at
	220211_at
B3GNTL1	213589_s_at
B3GNTL1	
B3GNTL1	215055_at
IFNGR2	
IFNGR2	201642_at
MUC6	214133_at
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	222021_x_at
CDH12P2	
PMCHL2	217123_x_at
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	207752_x_at
PRB1	210597_x_at
PRB1	211531_x_at
RAB11FIP3	203933_at
RAB11FIP3	214999_s_at
RAB11FIP3	
GTF2H2	221540_x_at
GTF2H2	
RNU6-1025P	
UGT2B15	207392_x_at
SDHAP2	222021_x_at
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	
DIS3L-AS1	
TMPRSS11E	220431_at
TMPRSS11E	
LINC02708	
KRTAP5-AS1	
TMEM50B	
TMEM50B	219600_s_at
NDUFA6	202000_at
NDUFA6	202001_s_at
DUSP8	206374_at
GNG5P1	
TCF20	212931_at
TCF20	
FAM99B	
IFITM10	
KRTAP5-3	
KRTAP5-2	
SMDT1	
YTHDC1	212455_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	
OLA1P1	
CYP2D7	207498_s_at
CYP2D7	
LINC02982	
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	213212_x_at
GOLGA6L17P	
CYP2D8P	
GOLGA2P10	
SLC12A7	218066_at
SLC12A7	
LMNTD2	
UBE2Q2P6	
TIMM22	219184_x_at
ADAMTS7P1	220705_s_at
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	
MIR210HG	
LINC00824	
RNH1	206050_s_at
RNH1	
RNH1	216798_at
UBE2Q2P2	
	200032_s_at
MUC20	
KIF26B	
KIF26B	220002_at
RPL7AP55	
OR10A3	
OR5P2	
OR5E1P	
OR5P3	
OR10A6	
NLRP10	
SERF1B	
SERF1B	219982_s_at
TARM1	
CYP2D6	207498_s_at
MBOAT7	209179_s_at
NAIP	204860_s_at
NAIP	204861_s_at
NAIP	
CNOT3	211141_s_at
CNOT3	203239_s_at
DRD4	208215_x_at
DEAF1	209407_s_at
DEAF1	
CLK2	203229_s_at
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
	207498_s_at
OR2T4	
RDH13	
IRF7	208436_s_at
IRF7	
OR2T7	
OR2T1	
BDH1	211715_s_at
BDH1	
OR2T3	
TSEN34	218132_s_at
TSEN34	
OR2T5	
TMEM179	
VSTM1	
OR2W1	221451_s_at
NOP56P1	
OR14J1	
TRIM27	210541_s_at
TRIM27	212116_at
TRIM27	212118_at
TRIM27	
GP6	220336_s_at
C14orf180	
MCCC2	
NCR1	217095_x_at
NCR1	207860_at
PKLR	207858_s_at
PKLR	210451_at
PKLR	222078_at
PKLR	
NLRP2	221690_s_at
LILRA4	
HCG14	
HRAS	
HRAS	212983_at
RPL13P	
ZNF311	
BDP1	
PSMB1	
FAM120B	
LENG1	
LINC01623	
ICE2P1	
LINC01060	
LINC01015	
OR2B3	
LAIR1	210644_s_at
LAIR1	208071_s_at
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	201771_at
SCAMP3	
LST1	
DENND11	
LMNTD2-AS1	
RASSF7	40359_at
RASSF7	204927_at
RASSF7	
NLRP7	
RPS9	214317_x_at
RPS9	217747_s_at
PCGF7P	
ZNF729	
	209093_s_at
ZNF676	
GBA	209093_s_at
GBA	210589_s_at
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	211102_s_at
LILRA2	211101_x_at
LILRA2	211100_x_at
LILRA2	207857_at
SSBP1	202591_s_at
SSBP1	
DLL1	
CDHR5	220075_s_at
CDHR5	219796_s_at
CDHR5	220074_at
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
SMN1	203852_s_at
TFPT	218996_at
OR2J3	217334_at
	214850_at
HLA-H	
MICB	205905_s_at
MICB	206247_at
LINC02197	
DEFB104B	
AGK	
AGK	222132_s_at
AGK	218568_at
SERF1A	
SERF1A	219982_s_at
DEFB105B	
PRPF31	202407_s_at
PRPF31	202408_s_at
PRR23D1	
WEE2	
DEFB4B	207356_at
FAM90A7	
LILRB1	207104_x_at
LILRB1	211336_x_at
LILRB1	
DEFB103B	
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	218563_at
HCN3	
DEFB107B	
OR2U2P	
TRIM10	221627_at
TRIM10	210579_s_at
TRIM10	56748_at
FAM90A6P	
SPAG11B	
SPAG11B	210884_s_at
SPAG11B	207271_x_at
SPAG11B	211381_x_at
SCT	221198_at
FAM189B	203550_s_at
FAM189B	
PTDSS2	
PTDSS2	221005_s_at
DEFB106B	
MICG	
RNF39	219916_s_at
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	207113_s_at
OR11A1	221343_at
LINC03015	
PRAMEF5	217365_at
FAM20C	
MOG	211836_s_at
MOG	205989_s_at
MOG	214650_x_at
MOG	
LINC03014	
	208312_s_at
PRAMEF22	217365_at
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	215838_at
LILRA5	
MBOAT7	211037_s_at
MBOAT7	
HNRNPCL2	
RPS17P1	
OR5V1	
PRAMEF25	217365_at
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	217273_at
PRAMEF9	217365_at
LY6G6F	
MYL6P5	
TMEM183AP1	
PSORS1C1	
PSORS1C1	220362_at
HLA-T	
HLA-DRA	208894_at
HLA-DRA	210982_s_at
PPP1R11	201500_s_at
BTNL2	221457_s_at
	217723_x_at
	213897_s_at
TOMM40P4	
CDRT15P3	206611_at
	206611_at
RPL7P4	
RPL7AP7	
LTB	207339_s_at
CEACAM4	
CEACAM4	207205_at
LINC01556	
TMPOP1	
PSMB9	204279_at
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	216605_s_at
CEACAM21	214907_at
CEACAM21	
LILRA3	206881_s_at
LILRA3	
GOLGA6L24P	
FAM189A1	213997_at
FAM189A1	
ATP23	
GABBR1	203146_s_at
GABBR1	
GABBR1	205890_s_at
RPS9	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
CEACAM7	206199_at
PTPRN2	
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	209870_s_at
APBA2	209871_s_at
GIHCG	
RN7SKP65	
LILRB2	207697_x_at
LILRB2	210146_x_at
LILRB2	
HLA-G	211528_x_at
HLA-G	211530_x_at
HLA-G	210514_x_at
HLA-G	211529_x_at
KIR3DX1	
KIR3DX1	216428_x_at
LILRA6	208594_x_at
LILRA6	
ZFP57	
OR2H5P	
GPR53P	
OR2J2	208508_s_at
OR2J2	216818_s_at
HLA-DRB9	
MSH5-SAPCD1	212913_at
MSH5-SAPCD1	210410_s_at
MSH5-SAPCD1	221406_s_at
PHLDA2	209803_s_at
CARS1	202402_s_at
CARS1	212971_at
CARS1	
FAM138D	
IQSEC3	
CTSO	203758_at
HERC2	217902_s_at
HERC2	
MROH5	
SPPL2C	
ASIC5	
RPS7P11	213941_x_at
RPS7P11	200082_s_at
TDO2	
TDO2	205943_at
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	208739_x_at
MDC1-AS1	
ZNRD1ASP	
ZNRD1ASP	215985_at
HNRNPA1P38	
PTP4A3	206574_s_at
PTP4A3	209695_at
PTP4A3	
PTP4A3	214223_at
SLC39A11	
KANSL1-AS1	
WHAMMP2	
WHAMMP2	213908_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	216818_s_at
SLC5A8	
WNT3	221455_s_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	222149_x_at
GOLGA8G	
DHX16	
GPR20	214510_at
DLGAP2	210227_at
DLGAP2	216916_s_at
DND1P1	
ANO4	
ARHGAP27	
APOM	205682_x_at
APOM	214910_s_at
MAMDC2-AS1	
MAMDC2	
HLA-K	
	221382_at
HSPA1B	200800_s_at
HSPA1B	202581_at
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	214428_x_at
C4B_2	208451_s_at
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	
HERC2P9	
HERC2P9	217317_s_at
RPL41P2	201492_s_at
GOLGA6L25P	
GOLGA8F	
GOLGA8F	222149_x_at
OR2U1P	
LINC00533	
MUC2	204673_at
MUC2	
MAPT-IT1	
CHRFAM7A	210123_s_at
APBA1	206679_at
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	201703_s_at
PPP1R10	201702_s_at
PPP1R10	
SCARF1	206995_x_at
SCARF1	
TTYH1	
TTYH1	219415_at
MAPT-AS1	
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	220220_at
LRRC37A4P	220219_s_at
NDUFB9P1	
	215599_at
NSF	202395_at
NSF	
PRH2	205272_s_at
ARHGAP11A	204492_at
TRBV11-1	
TAF9	202168_at
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	216578_at
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	221398_at
OR2J4P	
TRBV7-1	
HCG18	
TAS2R7	221396_at
TRBV25-1	
LRRC37A2	220219_s_at
IGKV1D-8	216517_at
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	36019_at
STK19	204090_at
STK19	
TAS2R14	221391_at
TRBV5-7	
IGKV1OR2-118	217480_x_at
TRBV27	
TAS2R9	221461_at
TRBV7-2	
TRBV21-1	216857_at
TRPV5	208267_at
TRPV5	
TAS2R45	
TAS2R31	
TAS2R13	221395_at
RAD17	
RAD17	210826_x_at
RAD17	207405_s_at
RAD17	211228_s_at
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	217480_x_at
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	
PRR4	205272_s_at
PRR4	
PRR4	204919_at
IGLV3-30	
OR2H2	217081_at
OR2H2	208573_s_at
IGLV1-44	
IGLV3-32	
ATAT1	218874_s_at
ATAT1	
ZNF280B	215048_at
ARMC10	
DDR1-DT	216459_x_at
NEU1	208926_at
KCNQ1	211217_s_at
KCNQ1	204487_s_at
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	206479_at
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	212717_at
PLEKHM1	212700_x_at
PLEKHM1	
PLEKHM1	216200_at
IGLV1-36	
ZNF280A	216034_at
KCNQ1-AS1	
TLCD2	
IGLV2-33	
NAP1L4	201414_s_at
NAP1L4	
IGLV5-45	
PRAME	204086_at
PRAME	
WDR81	
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
MYOM2	205826_at
MYOM2	
MAPT	203928_x_at
MAPT	203930_s_at
MAPT	203929_s_at
MAPT	206401_s_at
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	221397_at
TAS2R63P	
TRBV12-5	
RPP21	218836_at
RPP21	
TRBJ2-2P	
LY6G5C	219860_at
LY6G5C	
PRSS3P3	216597_at
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	208593_x_at
CRHR1	214619_at
CRHR1	211897_s_at
CRHR1	
TRBV10-2	211608_at
LLCFC1	
NAPEPLD	
TRBV9	
PRSS3P1	216470_x_at
TRBC1	210915_x_at
TRBC1	213193_x_at
TRBC1	211796_s_at
TRBJ2-1	
HSPA1A	200799_at
HSPA1A	200800_s_at
LILRB5	206856_at
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	222279_at
HLA-F-AS1	
TRPV6	206827_s_at
TRPV6	
HSPA1L	210189_at
GPSM3	214847_s_at
GPSM3	204265_s_at
IGLV7-35	
SCGB1C2	
C22orf15	
OR2I1P	
TSBP1-AS1	
HLA-B	209140_x_at
HLA-B	211911_x_at
HLA-B	214459_x_at
HLA-B	208812_x_at
LINC02091	
KRT31	206677_at
RXRB	215099_s_at
RXRB	209148_at
RXRB	215098_at
RPH3AL	221614_s_at
CABIN1	
SMARCB1	
SMARCB1	212167_s_at
AZU1	214575_s_at
TBC1D3P7	
SLC43A2	
KRT33A	208483_x_at
CRYZP1	
MICC	
LSM2	209449_at
LSM2	
KRT37	207649_at
PRTN3	207341_at
KRTAP16-1	
KRT34	206969_at
TRBV6-7	
KRTAP17-1	
PRSS2	
PRSS2	216470_x_at
PRSS2	205402_x_at
KRT33B	207787_at
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	221344_at
PLPPR3	
PRSS1	205869_at
KRT18P1	
PRPF31	
PRRT1	
	206969_at
ATP6V1G3	
MED16	221545_x_at
MED16	43544_at
MED16	221418_s_at
MED16	221938_x_at
MED16	
CLIC1	208659_at
LENG8	
TJP1	202011_at
TJP1	214168_s_at
TJP1	
CCL3-AS1	
TBC1D3I	209403_at
TBC1D3I	
TRBV23-1	
PTPRC	
LY6G6E	221338_at
TRBV5-4	
	211050_x_at
PRSS3P2	215395_x_at
KBTBD11-AS1	
MIF	217871_s_at
KBTBD11	204301_at
OR6V1	
HCG21	
MRPS18B	217408_at
MRPS18B	208907_s_at
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	207311_at
DOC2B	
MGAM2	216666_at
MGAM2	
HLA-DOB	205671_s_at
HLA-DOB	
LINC03021	
	217871_s_at
ARHGEF10	216620_s_at
ARHGEF10	
ARHGEF10	215139_at
DERL3	
ELANE	206871_at
LINC02887	
RILP	
CFD	205382_s_at
HLA-DRB3	215193_x_at
OR9A2	
TRBV13	
MIR22HG	214696_at
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	221262_s_at
SLC2A11	
EPHB6	204718_at
EPHB6	
CDKN1C	216894_x_at
CDKN1C	219534_x_at
CDKN1C	213348_at
CDKN1C	213182_x_at
CCL3L1	205114_s_at
CCL3L3	205114_s_at
CARS1-AS1	
OR12D3	221431_s_at
	220514_at
COX6CP18	
DDX39BP2	
SLC22A18	204981_at
SLC22A18	
TBC1D3B	209403_at
TSBP1	207523_at
ARL17B	
ARL17B	210718_s_at
PRPF8	200000_s_at
PRPF8	
GP6	
CCL18	32128_at
CCL18	209924_at
PSORS1C2	220635_at
HCP5	206082_at
SALL3	
	205114_s_at
GOLGA8J	213737_x_at
PEBP1P3	
TCF19	
LINC01896	
GREM1	218469_at
GREM1	218468_s_at
ATP9B	
CHRNA7	210123_s_at
CES1P1	209616_s_at
CDK7	211297_s_at
CDK7	
NCR3	210763_x_at
NCR3	211583_x_at
NCR3	211010_s_at
CES5A	
FAN1	203678_at
PSORS1C3	
BTNL2	
SLC22A18AS	206097_at
TBC1D3B	
KCNQ1DN	220629_at
NLRP2	
SNORA54	
SAPCD1	212913_at
SAPCD1	221406_s_at
	216470_x_at
ETF1P1	
HLA-P	
SCG5	203889_at
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	214911_s_at
BRD2	208686_s_at
BRD2	208685_x_at
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	32836_at
AGPAT1	215535_s_at
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	219878_s_at
MGAM	206522_at
MGAM	
DDAH2	202262_x_at
DDAH2	214909_s_at
DDAH2	215537_x_at
DDAH2	208659_at
GSDMD	218154_at
GSDMD	
HLA-W	
TNXA	216339_s_at
TNXA	213451_x_at
TNXA	208609_s_at
MTCO3P1	
HLA-DRB4	209728_at
TRBV16	217060_at
TRBVB	
TRBV6-1	
KANSL1	
CCL3	205114_s_at
PRSS58	
NCF4-AS1	
NCF4	205147_x_at
NCF4	207677_s_at
TRBV24-1	
POLR1H	
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	211796_s_at
CUBNP2	
MARCHF8	221824_s_at
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
TRBJ2-3	
CCL4	204103_at
OR6D1P	
TRBV7-5	
TRBJ2-5	
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
TRBV6-4	
ALOX5	204445_s_at
ALOX5	204446_s_at
ALOX5	214366_s_at
ALOX5	
TRBJ1-2	
LILRA6	210225_x_at
LILRA6	211135_x_at
LILRA6	211133_x_at
LILRA6	210784_x_at
TRBD1	
SERPINF2	
SERPINF2	205075_at
TRBJ2-4	
TRBV6-2	
PVALB	205336_at
PVALB	
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	203307_at
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	206077_at
KEL	
CDC42EP5	
HLA-DQB3	
TAP1	202307_s_at
CES1	209616_s_at
CES1	
LRRC37A	220219_s_at
ZC3H3	
PYCR3	218944_at
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	202702_at
TRIM26	
VWA7	221301_at
VWA7	
LRRC37A3	220219_s_at
EGFL8	208469_s_at
EGFL8	209826_at
TAMM41	
EEF1D	214394_x_at
EEF1D	203113_s_at
EEF1D	
RNU6-1207P	
TNXB	
OR2H1	216817_s_at
OR2H1	
TRIM15	36742_at
TRIM15	210885_s_at
TRIM15	210177_at
TRIM15	
DDT	202929_s_at
DDT	
PATL2	
TRIM69	
MARK2P14	
NUP210P2	
	210718_s_at
LTA	206975_at
DDR1	
HCG4B	
HCG27	
RPS26P8	217753_s_at
KIF5C	203129_s_at
KIF5C	
OR12D1	
NRM	
POMZP3	210910_s_at
POMZP3	204148_s_at
GSTT1	203815_at
GSTT1	
TNXB	217413_s_at
LILRA1	
LILRA1	207872_s_at
LILRA1	210660_at
TC2N	
ABR-AS1	
TRARG1	
PPT2	
PPT2	209490_s_at
PPT2	208469_s_at
PPT2	209826_at
YWHAE	210996_s_at
YWHAE	210317_s_at
YWHAE	
UPK3B	206658_at
UPK3B	
	207215_at
MIF-AS1	
GSTT3P	
GSTT2	205439_at
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	219264_s_at
PPP2R3B	
SORD2P	
SPDYE16	
B2M	201891_s_at
B2M	216231_s_at
CHCHD10	
ABHD16A	
DTX2	
DTX2	215732_s_at
GSTT4	207215_at
GSTT4	
DDTL	202929_s_at
LINC00588	210464_at
MMP11	203876_s_at
MMP11	203878_s_at
MMP11	
LINC01606	
HCG9P5	
IGHA2	217022_s_at
MDC1	203061_s_at
MDC1	203062_s_at
MDC1	
MCCD1	
FLOT1	210142_x_at
FLOT1	208749_x_at
IGHD4-17	
ZNF251	
IGHEP1	
MAP3K14	
IGHG3	
UBQLN1P1	
UQCRHP1	
OR10C1	221339_at
IGHJ5	
HLA-DQB2	215536_at
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	220293_at
CATSPERB	
IGHD7-27	
IGHV3-11	
	206658_at
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
	213602_s_at
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	216542_x_at
GSTT2B	205439_at
IGHE	217469_at
APOL5	220478_at
HLA-A	215313_x_at
HLA-A	213932_x_at
IGHV1-24	
PPP1R18	
IGHJ3P	
FAM30A	206478_at
FAM30A	220377_at
FAM30A	
LAIR2	
LAIR2	207509_s_at
RBFOX2	216215_s_at
RBFOX2	213901_x_at
RBFOX2	212104_s_at
ELK2BP	
IGHA1	217022_s_at
RN7SL268P	
IGHD1-14	
IGHV1-3	
IGHVIII-38-1	
IGHV7-34-1	
RDM1P2	
IGHV4-34	211639_x_at
IGHGP	211430_s_at
LINC02829	
HLA-Z	
IGHM	209374_s_at
IGHV4-39	
STH	
IGHG1	211430_s_at
HLA-DMB	203932_at
HLA-DMB	
LINC02570	
LINC02825	
LENG9	
IGHV3-33	215949_x_at
TBX22	
IGHD6-25	
POLR3GP1	
IGHD2-8	
IGHVIII-47-1	
IGHV3-21	216557_x_at
IGHV1-17	
IGHD6-6	
IGHD	213674_x_at
IGHD	215621_s_at
NANOGP7	
CXADRP2	
LINC02203	
PPP1R2P1	
IGHV1-12	
IGHD2-21	
IGHD5-12	
SLC20A1P2	
IGHJ6	
HLA-N	
IGHV1-45	
LONRF2P4	
IGHV3-50	
IGHV4-28	
IGHV3-53	
CHCHD2P2	
IGHD4-23	
IGHG4	
GTF2H2C_2	221540_x_at
GTF2H2C_2	
OR4M2B	
ERMARD	
DDX6P1	
GRAMD4P6	
NBEAP4	
NF1P9	
PPIAP9	
IGHJ2P	
IGHV1-68	
IGHVIII-22-2	
IGHVII-40-1	
IGHV3-54	
C2	203052_at
C2	
IGHJ3	
IGHV3-16	
POTEB3	
IGHJ4	
IGHJ1P	
IGHV7-56	
IGHV3-13	
ADAM2	207664_at
ADAM2	
