hgnc_symbol	affy_hg_u95e
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	73455_f_at
FAM99A	81245_at
DIS3L-AS1	68179_at
TMPRSS11E	
LINC02708	84726_at
KRTAP5-AS1	
TMEM50B	
NDUFA6	
	84726_at
DUSP8	
GNG5P1	
TCF20	
FAM99B	81245_at
IFITM10	88716_at
KRTAP5-3	
KRTAP5-2	
SMDT1	
SMDT1	77862_at
YTHDC1	75055_i_at
YTHDC1	87919_at
YTHDC1	75057_r_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	
OLA1P1	
CYP2D7	
LINC02982	
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	77356_at
GOLGA6L17P	
CYP2D8P	
GOLGA2P10	90680_at
GOLGA2P10	71946_at
GOLGA2P10	
SLC12A7	68587_at
SLC12A7	79349_at
SLC12A7	
LMNTD2	86306_r_at
LMNTD2	86304_s_at
LMNTD2	
UBE2Q2P6	
TIMM22	
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	77356_at
MIR210HG	83467_at
MIR210HG	
LINC00824	
GOLGA6L10	
RNH1	
UBE2Q2P2	
	80574_s_at
MUC20	
MUC20	67709_at
KIF26B	
RPL7AP55	
OR10A3	
OR5P2	
OR5E1P	
OR5P3	
OR10A6	
NLRP10	
SERF1B	
SERF1B	77978_at
TARM1	
CYP2D6	
MBOAT7	
NAIP	
CNOT3	
DRD4	
DEAF1	
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
OR2T4	
RDH13	
IRF7	
OR2T7	
OR2T1	
BDH1	77386_at
BDH1	
OR2T3	
TSEN34	
OR2T5	
TMEM179	
TMEM179	75728_at
VSTM1	74937_at
VSTM1	
OR2W1	
NOP56P1	
OR14J1	
TRIM27	
GP6	
C14orf180	
MCCC2	
PKLR	92008_s_at
PKLR	
NLRP2	
LILRA4	
HCG14	
HRAS	
RPL13P	
ZNF311	
BDP1	
PSMB1	
FAM120B	
LENG1	84668_at
LINC01623	
ICE2P1	
LINC01060	
LINC01060	82718_s_at
LINC01015	
OR2B3	
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	
LST1	
DENND11	
LMNTD2-AS1	
RASSF7	
NLRP7	74445_at
RPS9	
PCGF7P	
ZNF729	
ZNF676	
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
SSBP1	
DLL1	
CDHR5	75882_at
CDHR5	78328_at
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
TFPT	
OR2J3	
	77461_at
HLA-H	
MICB	
LINC02197	
DEFB104B	
AGK	
SERF1A	
SERF1A	77978_at
DEFB105B	
PRPF31	
PRR23D1	
WEE2	
DEFB4B	
FAM90A7	
LILRB1	
DEFB103B	
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	
HCN3	
DEFB107B	
OR2U2P	
TRIM10	
FAM90A6P	
SPAG11B	
SCT	
FAM189B	
PTDSS2	
DEFB106B	
MICG	
RNF39	76208_at
RNF39	84067_at
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	
OR11A1	
LINC03015	
PRAMEF5	
	79116_at
FAM20C	
MOG	
LINC03014	88988_at
LINC03014	
PRAMEF22	
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	
HNRNPCL2	
RPS17P1	
OR5V1	
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	
PRAMEF9	
LY6G6F	
MYL6P5	
TMEM183AP1	
PSORS1C1	
HLA-T	
HLA-DRA	
PPP1R11	
BTNL2	
TOMM40P4	
CDRT15P3	
RPL7P4	
RPL7AP7	
LTB	
NDUFA3	72138_at
CEACAM4	
LINC01556	
TMPOP1	
PSMB9	
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	
LILRA3	
GOLGA6L24P	
FAM189A1	
ATP23	
GABBR1	86077_i_at
GABBR1	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	82496_at
CEACAM7	
PTPRN2	
	85497_at
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
GIHCG	
RN7SKP65	
LILRB2	
HLA-G	
KIR3DX1	
LILRA6	
ZFP57	75665_at
OR2H5P	
GPR53P	
OR2J2	
HLA-DRB9	
MSH5-SAPCD1	
PHLDA2	
CARS1	
CARS1	69464_at
FAM138D	
IQSEC3	79484_r_at
CTSO	
HERC2	89333_at
HERC2	89112_at
HERC2	
MROH5	
SPPL2C	75578_at
ASIC5	
RPS7P11	
TDO2	
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
ZNRD1ASP	
HNRNPA1P38	
PTP4A3	
SLC39A11	
KANSL1-AS1	
WHAMMP2	70133_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	82800_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	70698_f_at
GOLGA8G	
DHX16	
GPR20	
DLGAP2	71751_at
DND1P1	
ANO4	82325_at
ARHGAP27	
ARHGAP27	79965_at
APOM	
MAMDC2-AS1	
MAMDC2	
HLA-K	
HSPA1B	90877_f_at
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	
HERC2P9	
RPL41P2	
GOLGA6L25P	
GOLGA8F	
GOLGA8F	70698_f_at
OR2U1P	
LINC00533	68034_at
MUC2	
MAPT-IT1	
CHRFAM7A	
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	
SCARF1	
TTYH1	
MAPT-AS1	91843_g_at
MAPT-AS1	91841_at
LINC02210-CRHR1	
	70247_at
MAPK8IP1P1	
LRRC37A4P	77901_at
NDUFB9P1	
NSF	
PRH2	
ARHGAP11A	
TRBV11-1	
TAF9	
TRBV7-6	
LINC02688	83425_at
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	
OR2J4P	
TRBV7-1	
HCG18	
HCG18	70747_at
TAS2R7	
TRBV25-1	
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	
STK19	83230_at
TAS2R14	
TRBV5-7	
IGKV1OR2-118	
TRBV27	
TAS2R9	
TRBV7-2	
TRBV21-1	
TRPV5	
TAS2R45	
TAS2R31	
TAS2R13	
RAD17	
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
	82396_at
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	
PRR4	
IGLV3-30	
OR2H2	
IGLV1-44	
IGLV3-32	
ATAT1	
ZNF280B	
ARMC10	
DDR1-DT	
NEU1	
KCNQ1	
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	
IGLV1-36	
ZNF280A	
KCNQ1-AS1	
TLCD2	83388_at
IGLV2-33	
NAP1L4	
IGLV5-45	
PRAME	
WDR81	
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
MYOM2	
NLRP7	
MAPT	80210_at
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	
TRBJ2-2P	
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	
TRBV10-2	
LLCFC1	
NAPEPLD	
TRBV9	
PRSS3P1	
TRBC1	
TRBJ2-1	
HSPA1A	
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
TRPV6	
HSPA1L	
GPSM3	
IGLV7-35	
SCGB1C2	
C22orf15	
C22orf15	81124_at
C22orf15	73528_at
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	79382_at
KRT31	
RXRB	
CABIN1	
SMARCB1	
AZU1	
TBC1D3P7	
SLC43A2	
KRT33A	
CRYZP1	
MICC	
LSM2	
KRT37	
PRTN3	
KRTAP16-1	
KRT34	
TRBV6-7	
KRTAP17-1	
PRSS2	
KRT33B	
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	
PLPPR3	
PRSS1	
KRT18P1	
PRRT1	
PRRT1	89791_g_at
PRRT1	89789_at
ATP6V1G3	90107_at
MED16	
CLIC1	
LENG8	
LENG8	86946_s_at
TJP1	
CCL3-AS1	
TBC1D3I	91373_at
TBC1D3I	
TRBV23-1	
PTPRC	
LY6G6E	
TRBV5-4	
PRSS3P2	
KBTBD11-AS1	
MIF	86505_at
MIF	
KBTBD11	
OR6V1	
HCG21	
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	80942_at
DOC2B	
MGAM2	
HLA-DOB	
LINC03021	
ARHGEF10	
DERL3	
DERL3	80262_at
DERL3	90509_at
DERL3	72104_at
ELANE	
LINC02887	
RILP	
CFD	
HLA-DRB3	
OR9A2	
TRBV13	
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	91223_r_at
SLC2A11	
EPHB6	
CDKN1C	
CCL3L1	
CCL3L3	
CARS1-AS1	
OR12D3	
COX6CP18	
DDX39BP2	
SLC22A18	
TBC1D3B	91373_at
TSBP1	
ARL17B	
ARL17B	79944_at
PRPF8	
CCL18	
PSORS1C2	
HCP5	
SALL3	72559_at
SALL3	80288_at
SALL3	
GOLGA8J	89519_f_at
PEBP1P3	
TCF19	87817_at
LINC01896	
GREM1	77919_at
ATP9B	
CHRNA7	
CES1P1	
CDK7	
NCR3	
CES5A	
FAN1	
PSORS1C3	86474_at
SLC22A18AS	
TBC1D3B	
KCNQ1DN	
SNORA54	
SAPCD1	
ETF1P1	
HLA-P	
SCG5	
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	86941_at
KLF13	91887_f_at
MGAM	
DDAH2	
GSDMD	
HLA-W	
TNXA	
MTCO3P1	
HLA-DRB4	
TRBV16	
TRBVB	
TRBV6-1	
KANSL1	78263_at
KANSL1	
CCL3	
PRSS58	
NCF4-AS1	
NCF4	
TRBV24-1	
POLR1H	
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	
CUBNP2	
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
TRBJ2-3	
CCL4	
OR6D1P	
TRBV7-5	
TRBJ2-5	
LINC01238	68712_at
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
TRBV6-4	
ALOX5	
TRBJ1-2	
TRBD1	
SERPINF2	
TRBJ2-4	
TRBV6-2	
PVALB	
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	72711_at
GNL1	88610_at
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	
CDC42EP5	78567_at
CDC42EP5	
HLA-DQB3	
TAP1	
CES1	
LRRC37A	
ZC3H3	
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	
VWA7	
LRRC37A3	
EGFL8	
TAMM41	
EEF1D	
EEF1D	89262_at
EEF1D	77361_g_at
EEF1D	77358_at
RNU6-1207P	
TNXB	
OR2H1	
TRIM15	
DDT	
PATL2	
TRIM69	
MARK2P14	
NUP210P2	
LTA	
DDR1	
HCG4B	
HCG27	
RPS26P8	
KIF5C	
OR12D1	
NRM	91615_at
POMZP3	
GSTT1	
LILRA1	
TC2N	83669_at
TC2N	
ABR-AS1	
TRARG1	82885_at
PPT2	
YWHAE	
UPK3B	
MIF-AS1	
GSTT3P	
GSTT2	
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	90020_at
PPP2R3B	
SORD2P	
SPDYE16	
B2M	84385_at
B2M	
CHCHD10	
ABHD16A	
DTX2	
GSTT4	
DDTL	
LINC00588	
MMP11	
LINC01606	
LINC01606	73979_at
HCG9P5	
IGHA2	
MDC1	
MCCD1	
FLOT1	
IGHD4-17	
ZNF251	
IGHEP1	
MAP3K14	
IGHG3	
UBQLN1P1	
UQCRHP1	
OR10C1	
IGHJ5	
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	
IGHD7-27	
IGHV3-11	
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	
GSTT2B	
IGHE	
APOL5	
HLA-A	
IGHV1-24	
PPP1R18	
PPP1R18	91615_at
IGHJ3P	
FAM30A	
LAIR2	
RBFOX2	
ELK2BP	
IGHA1	
RN7SL268P	
IGHD1-14	
IGHV1-3	
IGHVIII-38-1	
IGHV7-34-1	
RDM1P2	
IGHV4-34	
IGHGP	
LINC02829	
HLA-Z	
IGHM	
IGHV4-39	
STH	
	78263_at
IGHG1	
HLA-DMB	
LINC02570	80230_at
LINC02825	
LENG9	
IGHV3-33	
TBX22	
IGHD6-25	
POLR3GP1	
IGHD2-8	
IGHVIII-47-1	
IGHV3-21	
IGHV1-17	
IGHD6-6	
	67580_at
IGHD	75142_at
NANOGP7	
CXADRP2	
LINC02203	74187_at
PPP1R2P1	
IGHV1-12	
IGHD2-21	
IGHD5-12	
SLC20A1P2	
IGHJ6	
HLA-N	
IGHV1-45	
LONRF2P4	
IGHV3-50	
IGHV4-28	
IGHV3-53	
CHCHD2P2	
IGHD4-23	
IGHG4	
GTF2H2C_2	89507_at
OR4M2B	
ERMARD	
DDX6P1	
GRAMD4P6	
NBEAP4	
NF1P9	
PPIAP9	
IGHJ2P	
IGHV1-68	
IGHVIII-22-2	
IGHVII-40-1	
IGHV3-54	
C2	
IGHJ3	
IGHV3-16	
POTEB3	
IGHJ4	
IGHJ1P	
IGHV7-56	
IGHV3-13	
ADAM2	
PFDN6	
IGHV1-18	
IGHVIII-25-1	
IGHD3-9	
IGHVIII-2-1	
IGHVII-74-1	
IGHVII-15-1	
IGHVII-44-2	
IGHV3-19	
ADAM6	
IGHD1-20	
IGHVIII-11-1	
IGHVIII-5-1	
IGHVIII-13-1	
IGHV1-2	
SPACA7	
IGHVIII-67-3	
IGHV3-30-2	
HOMER2P2	
IGHD5-24	
IGHD2-15	
IGHV3-64	
IGHV3-65	
IGHV3-35	
IGHVII-22-1	
ELK2AP	
DUX4L9	
IGHV3-15	
TUBB7P	
IGHV5-51	
FRG2	
CEP72-DT	
CEP72	
IGHVII-46-1	
IGHV3-42	
IGHV3-6	
IGHV3-7	
TUBGCP3	
IGHV2-26	
IGHV4-55	
SLC9A3	
IGHD5-5	
GPI	
IGHD4-4	
IGHD3-10	
IGHVII-67-1	
IGHV7-27	
IGHV3-41	
IGHVII-62-1	
IGHVIII-5-2	
IGHV4-59	
LINC01070	
IGHV3-33-2	
IGHV2-70	
LINC01043	
IGHVIII-76-1	
IGHV3-43	
LINC01044	
IGHV3-66	
HLA-DMA	
IGHD3-16	
IGHVII-53-1	
IGHV3-22	
IGHV3-72	
IGHV3-48	
FRG1	
UBD	
IGHV7-40	
IGHV3-69-1	
IGHV1-69D	
IGHV3-29	
IGHV3-36	
IGHV1-58	
IGHV2-5	
IGHV3-47	
IGHVIII-44	
IGHV8-51-1	
IGHV3-57	
IGHV3-63	
IGHVIII-26-1	
IGHVII-30-1	
IGHD1-1	
IGHV6-1	
IGHV3-60	
IGHV3-38	
LILRB4	
IGHV3-73	
RDH13	83871_at
IGHV4-61	
IGHD5-18	
IGHVII-51-2	
IGHD6-13	
IGHV3-74	
IGHV3-25	
IGHVII-65-1	
IGHV3-75	
IGHV2-70D	
IGHD1-7	
IGHVII-33-1	
IGHV3-37	
IGHVII-26-2	
IGHV3-62	
ATP5MC1P1	
IGHV1-67	
IGHVII-1-1	
IGHD2-2	
HOMER2P1	
IGHVIV-44-1	
IGHD4-11	
IGHV1-69-2	
IGHV3-30	
IGHVIII-67-4	
VARS1	
IGHV4-4	
CUTA	
IGHG2	
GAL3ST2	
NEU4	82995_at
NEU4	
IGHV3-71	
IGHV1-69	
IGHV3-52	
IGHV3-49	
COPDA1	
IGHV3-76	
IGHVII-49-1	
IGHV1-46	
SLC20A1P1	
IGHVII-60-1	
IGHV5-78	
IGHV3-23	
CLN8	
CLN8	81686_at
CLN8	76495_at
IGHVIII-67-2	
IGHV1-14	
MCCD1P1	
BAG6	
CLN8-AS1	
LINC00242	
LINC00574	
DYNLT2	
	70761_at
RN7SKP117	
RPS27P14	
MARVELD2	
SAPCD1-AS1	
HLA-DPB2	69520_at
HLA-DPB2	
RNF5	
LINC01237	
EHMT2	
FAM240C	
HLA-J	
TRIM31	
RTP5	
PDCD1	
C6orf15	
GRK1	
TMEM255B	
TMC4	
LINC00552	
ADAM9	
RPL7AP80	
HLA-U	
	72981_at
COL11A2P1	
MTCO2P32	
LPCAT1	
RNU6-164P	
ADAM32	
LILRB1-AS1	
LILRB3	
GAPDHP26	
BAAT	
TAF4	
FYTTD1P1	
TRMT112P4	
PLPPR1	
CDH4	
TUBB	
B3GALT4	
SNHG32	
CLPTM1L	
TRPC6P4	
HLA-DRB2	
GLIS2	
OCLN	
VASN	
MAPK15	74885_at
MAPK15	
CORO7-PAM16	
LY6L	
LY6H	
LYPLA2P1	
HLA-DPA2	
TRIM40	
NPIPA5	
NOMO1	
LINC02536	
PTPRK-AS1	
MRPS17P5	
PTPRK	78129_at
PTPRK	
FAM83H	72495_at
SMIM10L1	84087_at
LINC02904	
LINC02878	
GLIS2-AS1	
GFUS	
NMRAL1	73741_g_at
NMRAL1	81699_at
NMRAL1	73739_at
NMRAL1	79723_r_at
NMRAL1	
PRB3	
CCDC125	90551_s_at
CCDC125	
MSH5	
LINC01511	
SLC6A3	
LY6E	
TAS2R42	
PSMB8	
ADAM18	74195_at
ADAM18	74197_g_at
ADAM18	
LY6G5B	
CCL23	
SUCLA2P1	
HLA-DRB1	
HLA-DPA1	91041_at
HLA-DPA1	
NAIPP4	
	81146_at
TBC1D3G	91373_at
HMGN1P12	
CFL1P5	
AK6	
PRB4	
	89341_at
PUF60	
HMOX2	
PRH1	
C6orf47-AS1	
LY6E-DT	
AK3P2	
TSPY24P	
ZNF92P1Y	
RBMY3AP	
RFTN1P1	
CCL16	
SERBP1P2	
TSPY12P	
DUX4L19	
TTTY12	79629_at
TTTY12	
TTTY7B	
RPL3P10	
DDX52	
OFD1P3Y	
RBMY2HP	
TTTY6	
ELOCP35	
SLC9B1P1	82394_at
USP12PY	
TTTY23	
KDM5DP1	
TTTY7	
LINC00279	
DUX4L17	
PRY	
	84271_r_at
RRN3	
TSPY18P	
PCMTD1P1	
HSFY7P	
ZNF736P6Y	
TUSC2P1	
RBMY2AP	
FAM197Y5	
TTTY2B	
TTTY21	
MRPS36	
PUDPP1	
CDRT15P10	
USP9Y	
HLA-F	
HLA-E	
CDH12P4	
TBC1D3K	91373_at
RING1	70617_f_at
ZDHHC20P1	
IER3	
FKBPL	
RPL12P1	
RPS18	
CYP21A1P	
HLA-DPB1	
AIF1	
HMGB1P24	
LHX1-DT	
LYZL6	
LY6G6C	
MRPL45	
CDY3P	
PRY2	
PARN	
	89764_at
TSPY25P	
OFD1P8Y	
NAPRT	
NAPRT	89340_at
RNF19BPY	
TSPY23P	
HLA-DOA	
FAM197Y2	
TUBB1P2	
DUX4L31	
TSPY13P	
TBC1D3L	91373_at
ACTR3BP1	
RPS24P1	
RBMY2FP	
NEK4P1	
TTTY1B	
RCC2P2	
ZNF736P8Y	
RBMY2OP	
EIF1AY	
PAM16	
DHFRP2	
ZNF70P1	
AGER	
HLA-DRB7	
TSPY19P	
BPY2	
ACACA	78783_at
ACACA	
HLA-L	
CCDC166	
ZNF707	
MTND1P12	
STSP1	
	70513_f_at
	70511_i_at
CTBP2P1	
MTND6P1	
DLGAP5P1	
CDC27P2	
TTTY8B	
PABPC1P5	
TSPY22P	
RCC2P1	
SHROOM2P1	
TTTY2	
USP9YP22	
TTTY18	
	83999_at
DNAJA3	
RBMY2QP	
DUX4L18	
TSPY16P	
RBMY2BP	
RBMY2GP	
ZNF736P11Y	
OFD1P9Y	
BPY2DP	
RBMY2JP	
CHEK2P1	
RBMY2UP	
FAM224B	75186_r_at
ZNF886P	
HTATSF1P1	
ELOCP8	
OFD1P16Y	
TTTY25P	
FAM197Y1	
ASS1P6	
SNX18P1Y	
RBMY2NP	
TTTY1	
USP9YP4	
MED14P1	
HSFY5P	
ZNF885P	
ARSFP1	
ZNF736P7Y	
SURF6P1	
XGY1	
ANKRD20A6P	
TTTY8	
SAR1AP1	
ABCF1	
RBMY2KP	
TSPY21P	
TTTY19	
TSPY17P	
TTTY4	
TSPY15P	
ELOCP4	
TTTY23B	
TTTY22	70513_f_at
TSPY11P	
MXRA5Y	
DUX4L16	
TSPY10	
PLA2G10	
CFB	
MTCYBP1	
USP9YP17	
TTTY17A	
AGPAT5P1	
TSPY20P	
FAM41AY1	
TTTY6B	
ELOCP15	
FAM197Y4	
TRIM60P3Y	
MTND1P1	
LINC00280	70513_f_at
LINC00280	70511_i_at
PRRC2CP1	
TSPY5P	
ZNF736P10Y	
TSPY1	
RPL23AP1	
GTF2H4	
CDIP1	
CDY12P	
MTND2P3	
TIGD5	
CDY13P	
RBMY1KP	
TTTY11	
ZNF623	
TTTY21B	
ARSDP1	79846_at
TTTY5	
CDY4P	
MROH6	
RBMY1D	
PKD1P3	
CEP20	
SCRIB	
RBMY2WP	
USP9YP24	
TTTY10	
UBE2V1P3	
FAM8A4P	
ARSLP1	
TRIM60P8Y	
HLA-DPA3	
FAM197Y9	
FAM197Y3	
PAIP1P1	
NFKBIL1	
MED13P1	
TSPY6P	
LENG8-AS1	72056_at
LENG8-AS1	
CYCSP46	
RNU6-303P	
RNA5SP518	
RN7SL702P	
RNA5SP520	
RNA5SP521	
RNU6-109P	
RNA5-8SP6	
RNA5SP519	
RNU6-184P	
OFD1P6Y	
CORO7	
HSFY2	
MPIG6B	
RPL15P20	
ABCC6P2	
THEMIS	
