hgnc_symbol	affy_hg_u95a
GART	38384_at
GART	
ABR	39058_at
ABR	
MEGF11	
RPS5P3	
DNAJC28	
UGT2A3	
B3GNTL1	41006_at
B3GNTL1	
IFNGR2	
IFNGR2	41140_at
MUC6	707_s_at
MUC6	38217_at
MUC6	
UGT2B27P	
MUC20-OT1	
CDH12P2	
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	32885_f_at
PRB1	36774_f_at
PRB1	36775_f_at
RAB11FIP3	41636_at
RAB11FIP3	
GTF2H2	33715_r_at
GTF2H2	
RNU6-1025P	
UGT2B15	33069_f_at
UGT2B15	33068_f_at
SDHAP2	
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	
DIS3L-AS1	
TMPRSS11E	
LINC02708	
KRTAP5-AS1	
TMEM50B	
NDUFA6	38983_at
NDUFA6	
DUSP8	1561_at
DUSP8	1562_g_at
GNG5P1	
TCF20	33795_at
TCF20	33793_at
TCF20	33794_g_at
TCF20	
FAM99B	
IFITM10	
KRTAP5-3	
KRTAP5-2	
SMDT1	
YTHDC1	39897_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	
OLA1P1	
CYP2D7	
LINC02982	
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L17P	
	34592_at
CYP2D8P	
GOLGA2P10	
SLC12A7	
LMNTD2	
UBE2Q2P6	
TIMM22	
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	
MIR210HG	
LINC00824	
RNH1	36187_at
RNH1	
UBE2Q2P2	
	36358_at
MUC20	
KIF26B	
RPL7AP55	
OR10A3	
OR5P2	
OR5E1P	
OR5P3	
OR10A6	
NLRP10	
SERF1B	
TARM1	
CYP2D6	38507_at
MBOAT7	180_at
MBOAT7	181_g_at
NAIP	37277_at
NAIP	
CNOT3	38310_at
DRD4	35042_at
DEAF1	35771_at
DEAF1	
	40890_at
CLK2	646_s_at
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
	38507_at
OR2T4	
RDH13	
IRF7	36412_s_at
IRF7	
OR2T7	
OR2T1	
BDH1	37211_at
BDH1	
OR2T3	
TSEN34	
OR2T5	
TMEM179	
VSTM1	
OR2W1	
NOP56P1	
OR14J1	
TRIM27	40176_at
TRIM27	1843_at
TRIM27	
GP6	
C14orf180	
MCCC2	
PKLR	37077_at
PKLR	
NLRP2	
LILRA4	
HCG14	
HRAS	35701_at
HRAS	1590_s_at
RPL13P	
ZNF311	
BDP1	
PSMB1	
FAM120B	
LENG1	
LINC01623	
ICE2P1	
LINC01060	
LINC01015	
OR2B3	
LAIR1	37470_at
LAIR1	
MTX1P1	40890_at
RPL7AP27	
SCAMP3	32799_at
SCAMP3	
LST1	
DENND11	
LMNTD2-AS1	
RASSF7	40359_at
RASSF7	
NLRP7	
RPS9	31511_at
PCGF7P	
ZNF729	
	40889_at
ZNF676	
GBA	40889_at
GBA	32632_g_at
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	31448_s_at
LILRA2	34033_s_at
SSBP1	38846_at
SSBP1	
DLL1	
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
SMN1	37313_at
TFPT	
OR2J3	
	41642_at
HLA-H	
MICB	35937_at
MICB	
LINC02197	
DEFB104B	
AGK	
SERF1A	
DEFB105B	
PRPF31	40905_s_at
PRR23D1	
WEE2	
DEFB4B	32464_at
FAM90A7	
LILRB1	35927_r_at
LILRB1	
DEFB103B	
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	
HCN3	
DEFB107B	
OR2U2P	
TRIM10	35884_at
TRIM10	
FAM90A6P	
SPAG11B	
SPAG11B	39606_at
SCT	
FAM189B	33740_at
FAM189B	
PTDSS2	
DEFB106B	
MICG	
RNF39	
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	1852_at
TNF	259_s_at
OR11A1	
LINC03015	
PRAMEF5	
FAM20C	
MOG	37867_at
MOG	37868_s_at
MOG	
LINC03014	
PRAMEF22	
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	
MBOAT7	
HNRNPCL2	32408_s_at
RPS17P1	
OR5V1	
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	32408_s_at
PRAMEF33	
PRAMEF9	
LY6G6F	
MYL6P5	
TMEM183AP1	
PSORS1C1	
NCR1	34039_at
HLA-T	
HLA-DRA	37039_at
PPP1R11	38412_at
BTNL2	
	34358_at
TOMM40P4	
CDRT15P3	37885_at
	37884_f_at
	37885_at
RPL7P4	
RPL7AP7	
LTB	40729_s_at
CEACAM4	
CEACAM4	32490_at
LINC01556	
	41723_s_at
TMPOP1	
PSMB9	38287_at
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	
LILRA3	35095_r_at
LILRA3	35094_f_at
LILRA3	
GOLGA6L24P	
FAM189A1	40346_at
FAM189A1	
ATP23	
GABBR1	32623_at
GABBR1	
GABBR1	39959_at
RPS9	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
PTPRN2	
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	39590_at
GIHCG	
RN7SKP65	
LILRB2	39221_at
LILRB2	
HLA-G	40370_f_at
HLA-G	40369_f_at
HLA-G	
KIR3DX1	
LILRA6	
ZFP57	
OR2H5P	31590_g_at
GPR53P	
OR2J2	31433_at
HLA-DRB9	
MSH5-SAPCD1	41467_at
MSH5-SAPCD1	
PHLDA2	40237_at
PHLDA2	31888_s_at
CARS1	40408_at
CARS1	
FAM138D	
IQSEC3	
CTSO	36915_at
HERC2	
MROH5	
SPPL2C	
ASIC5	
RPS7P11	34646_at
TDO2	
TDO2	38606_at
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
ZNRD1ASP	
ZNRD1ASP	35010_at
HNRNPA1P38	
PTP4A3	36008_at
PTP4A3	
PTP4A3	39824_at
SLC39A11	
KANSL1-AS1	
WHAMMP2	
WHAMMP2	33187_r_at
WHAMMP2	33186_i_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	
DHX16	
GPR20	32351_at
DLGAP2	31713_s_at
DLGAP2	31712_at
DND1P1	
ANO4	
ARHGAP27	
APOM	37923_at
APOM	37924_g_at
APOM	37925_r_at
MAMDC2-AS1	
MAMDC2	
HLA-K	
HSPA1B	31692_at
HSPA1B	1104_s_at
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	40766_at
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	
HERC2P9	
HERC2P9	40877_s_at
RPL41P2	32466_at
GOLGA6L25P	
GOLGA8F	
OR2U1P	
LINC00533	
MUC2	896_at
MUC2	
MAPT-IT1	
CHRFAM7A	39566_at
APBA1	36698_at
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	38672_at
PPP1R10	
SCARF1	40034_r_at
SCARF1	
TTYH1	
MAPT-AS1	
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	39880_at
NDUFB9P1	
	32921_at
NSF	38719_at
NSF	
PRH2	31635_g_at
ARHGAP11A	38536_at
TRBV11-1	
TAF9	193_at
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	32795_at
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	
OR2J4P	
TRBV7-1	
HCG18	
TAS2R7	
TRBV25-1	
LRRC37A2	39880_at
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	36019_at
STK19	
TAS2R14	
TRBV5-7	
IGKV1OR2-118	31386_at
TRBV27	
TAS2R9	
TRBV7-2	
TRBV21-1	32416_at
TRPV5	
TAS2R45	
TAS2R31	
TAS2R13	
RAD17	
RAD17	32118_at
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	35530_f_at
IGKV1OR10-1	31386_at
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	
PRR4	31635_g_at
PRR4	
PRR4	36024_at
PRR4	31634_at
IGLV3-30	
OR2H2	31590_g_at
OR2H2	31589_at
IGLV1-44	
IGLV3-32	
ATAT1	
ZNF280B	33542_at
ARMC10	
DDR1-DT	
NEU1	39075_at
KCNQ1	32077_s_at
KCNQ1	40527_at
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	41564_at
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	35650_at
PLEKHM1	
IGLV1-36	
ZNF280A	33654_at
KCNQ1-AS1	
TLCD2	
IGLV2-33	
NAP1L4	32575_at
NAP1L4	
IGLV5-45	
PRAME	157_at
PRAME	
WDR81	
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
MYOM2	37540_at
MYOM2	
MAPT	310_s_at
MAPT	38629_at
MAPT	114_r_at
MAPT	113_i_at
MAPT	331_at
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	
TRBJ2-2P	
LY6G5C	
PRSS3P3	32797_at
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	40650_r_at
CRHR1	40651_s_at
CRHR1	
TRBV10-2	
LLCFC1	
NAPEPLD	
TRBV9	
PRSS3P1	32796_f_at
TRBC1	32793_at
TRBC1	32794_g_at
TRBJ2-1	
HSPA1A	31692_at
HSPA1A	1104_s_at
LILRB5	36789_f_at
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
TRPV6	36806_at
TRPV6	
HSPA1L	40656_at
GPSM3	39049_at
IGLV7-35	
SCGB1C2	
C22orf15	
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	
KRT31	36310_at
RXRB	1362_s_at
RXRB	37763_at
CABIN1	
SMARCB1	
SMARCB1	40416_at
AZU1	33963_at
TBC1D3P7	
SLC43A2	
KRT33A	31594_at
CRYZP1	
MICC	
LSM2	41375_at
LSM2	
KRT37	31422_at
PRTN3	37066_at
KRTAP16-1	
KRT34	34012_at
TRBV6-7	
KRTAP17-1	
PRSS2	
PRSS2	32796_f_at
KRT33B	34568_at
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	36674_at
MOXD2P	
OR12D2	
PLPPR3	
PRSS1	32796_f_at
PRSS1	
KRT18P1	
PRPF31	
PRRT1	
	34012_at
ATP6V1G3	
MED16	
CLIC1	36131_at
LENG8	
TJP1	
CCL3-AS1	
TBC1D3I	
TRBV23-1	
PTPRC	
LY6G6E	
TRBV5-4	
	372_f_at
PRSS3P2	32796_f_at
KBTBD11-AS1	
MIF	895_at
KBTBD11	36453_at
OR6V1	
HCG21	
MRPS18B	32221_at
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	32422_at
DOC2B	
MGAM2	
HLA-DOB	38570_at
HLA-DOB	
LINC03021	
	895_at
ARHGEF10	34180_at
ARHGEF10	
DERL3	
ELANE	37096_at
LINC02887	
RILP	
CFD	40282_s_at
HLA-DRB3	41723_s_at
OR9A2	
TRBV13	
MIR22HG	35224_at
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	
EPHB6	39930_at
EPHB6	
CDKN1C	39545_at
CDKN1C	1787_at
CDKN1C	38673_s_at
CCL3L1	36103_at
CCL3L3	36103_at
CARS1-AS1	
OR12D3	
COX6CP18	
DDX39BP2	
SLC22A18	39992_at
SLC22A18	
TBC1D3B	
TSBP1	33574_at
ARL17B	
ARL17B	39879_s_at
PRPF8	35753_at
PRPF8	
CCL18	32128_at
PSORS1C2	
HCP5	33320_at
SALL3	
	36103_at
GOLGA8J	
PEBP1P3	
TCF19	
LINC01896	
GREM1	39474_s_at
ATP9B	
CHRNA7	39566_at
CES1P1	37203_at
CDK7	1969_s_at
CDK7	
CDK7	33317_at
NCR3	37968_at
NCR3	
CES5A	
FAN1	36458_at
PSORS1C3	
SLC22A18AS	37414_at
KCNQ1DN	
SNORA54	
SAPCD1	41467_at
SAPCD1	
	32796_f_at
ETF1P1	
HLA-P	
SCG5	34265_at
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	36209_at
BRD2	36210_g_at
BRD2	36208_at
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	32836_at
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	
MGAM	34509_at
MGAM	
DDAH2	38621_at
DDAH2	36131_at
GSDMD	
HLA-W	
TNXA	38508_s_at
MTCO3P1	
HLA-DRB4	32035_at
HLA-DRB4	41723_s_at
TRBV16	31563_at
TRBVB	
TRBV6-1	
KANSL1	
CCL3	36103_at
PRSS58	
NCF4-AS1	
NCF4	38895_i_at
NCF4	
TRBV24-1	
POLR1H	
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	1105_s_at
TRBC2	32794_g_at
CUBNP2	
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
TRBJ2-3	
CCL4	36674_at
OR6D1P	
TRBV7-5	
TRBJ2-5	
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
TRBV6-4	
ALOX5	307_at
ALOX5	
TRBJ1-2	
LILRA6	37148_at
TRBD1	
SERPINF2	
SERPINF2	32103_at
TRBJ2-4	
TRBV6-2	
PVALB	37614_g_at
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	37903_at
GNL1	1162_g_at
GNL1	1181_at
GNL1	37904_s_at
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	38197_at
KEL	
CDC42EP5	
HLA-DQB3	
TAP1	40153_at
CES1	37203_at
CES1	
LRRC37A	
ZC3H3	
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	39412_at
TRIM26	
VWA7	
LRRC37A3	39880_at
EGFL8	38109_at
TAMM41	
EEF1D	41256_at
EEF1D	
RNU6-1207P	
TNXB	
OR2H1	34136_s_at
OR2H1	31590_g_at
OR2H1	34137_at
TRIM15	36742_at
TRIM15	
DDT	33689_s_at
DDT	374_f_at
DDT	41181_r_at
DDT	41180_i_at
PATL2	201_s_at
TRIM69	
MARK2P14	
NUP210P2	
	39879_s_at
LTA	258_at
LTA	36296_at
DDR1	
HCG4B	
HCG27	
RPS26P8	
KIF5C	
OR12D1	
NRM	
POMZP3	39720_g_at
POMZP3	39719_at
GSTT1	37222_at
GSTT1	375_at
GSTT1	
LILRA1	
LILRA1	32475_at
LILRA1	31453_s_at
TC2N	
ABR-AS1	
TRARG1	
PPT2	
PPT2	38108_at
PPT2	38109_at
YWHAE	1011_s_at
YWHAE	
UPK3B	
	35538_at
MIF-AS1	
GSTT3P	
GSTT2	1099_s_at
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	
SORD2P	
SPDYE16	
B2M	34644_at
B2M	428_s_at
B2M	201_s_at
CHCHD10	
ABHD16A	
DTX2	
DTX2	37977_at
GSTT4	35538_at
GSTT4	
DDTL	374_f_at
LINC00588	36380_at
MMP11	38181_at
MMP11	
LINC01606	
HCG9P5	
IGHA2	33501_r_at
IGHA2	33499_s_at
IGHA2	33500_i_at
MDC1	32661_s_at
MDC1	32662_at
MDC1	
MCCD1	
FLOT1	40635_at
IGHD4-17	
ZNF251	
IGHEP1	35601_at
MAP3K14	
IGHG3	37864_s_at
UBQLN1P1	
UQCRHP1	
OR10C1	
IGHJ5	
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	
IGHD7-27	
IGHV3-11	34105_f_at
	38591_at
	1763_at
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	
GSTT2B	1099_s_at
IGHE	35601_at
APOL5	
HLA-A	41237_at
IGHV1-24	
PPP1R18	
IGHJ3P	
FAM30A	33528_at
FAM30A	
LAIR2	33541_s_at
RBFOX2	40260_g_at
RBFOX2	40259_at
RBFOX2	
ELK2BP	
IGHA1	33501_r_at
IGHA1	33499_s_at
IGHA1	33500_i_at
RN7SL268P	
IGHD1-14	
IGHV1-3	
IGHVIII-38-1	
IGHV7-34-1	
RDM1P2	
IGHV4-34	
IGHGP	
LINC02829	
HLA-Z	
IGHM	41165_g_at
IGHM	41164_at
IGHV4-39	
STH	
IGHG1	37864_s_at
HLA-DMB	41609_at
HLA-DMB	
LINC02570	
LINC02825	
LENG9	
IGHV3-33	
TBX22	
IGHD6-25	
POLR3GP1	
IGHD2-8	
IGHVIII-47-1	
IGHV3-21	34105_f_at
IGHV1-17	
IGHD6-6	
IGHD	37467_at
NANOGP7	
CXADRP2	
LINC02203	
PPP1R2P1	
IGHV1-12	
IGHD2-21	
IGHD5-12	
SLC20A1P2	
IGHJ6	
HLA-N	
IGHV1-45	
LONRF2P4	
IGHV3-50	
IGHV4-28	
IGHV3-53	
CHCHD2P2	
IGHD4-23	
IGHG4	37864_s_at
GTF2H2C_2	33715_r_at
GTF2H2C_2	
OR4M2B	
ERMARD	
DDX6P1	
GRAMD4P6	
NBEAP4	
NF1P9	
PPIAP9	
IGHJ2P	
IGHV1-68	
IGHVIII-22-2	
IGHVII-40-1	
IGHV3-54	
C2	33374_at
C2	
IGHJ3	
IGHV3-16	
POTEB3	
IGHJ4	
IGHJ1P	
IGHV7-56	
IGHV3-13	
ADAM2	32298_at
ADAM2	
PFDN6	35963_at
IGHV1-18	
IGHVIII-25-1	
IGHD3-9	
IGHVIII-2-1	
IGHVII-74-1	
IGHVII-15-1	
IGHVII-44-2	
IGHV3-19	
ADAM6	
IGHD1-20	
IGHVIII-11-1	
IGHVIII-5-1	
IGHVIII-13-1	
IGHV1-2	34098_f_at
SPACA7	
IGHVIII-67-3	
IGHV3-30-2	
HOMER2P2	
IGHD5-24	
IGHD2-15	
IGHV3-64	
IGHV3-65	
IGHV3-35	
IGHVII-22-1	
ELK2AP	
DUX4L9	
IGHV3-15	
TUBB7P	31686_at
IGHV5-51	
FRG2	
CEP72-DT	
CEP72	
IGHVII-46-1	
IGHV3-42	
IGHV3-6	
IGHV3-7	34105_f_at
TUBGCP3	38353_at
TUBGCP3	
IGHV2-26	
IGHV4-55	
SLC9A3	
IGHD5-5	
GPI	
IGHD4-4	
IGHD3-10	
IGHVII-67-1	
IGHV7-27	
IGHV3-41	
IGHVII-62-1	
IGHVIII-5-2	
IGHV4-59	
LINC01070	
IGHV3-33-2	
IGHV2-70	
LINC01043	
IGHVIII-76-1	
IGHV3-43	
LINC01044	
IGHV3-66	
HLA-DMA	37344_at
HLA-DMA	
IGHD3-16	
IGHVII-53-1	
IGHV3-22	
IGHV3-72	
IGHV3-48	34105_f_at
FRG1	38923_at
FRG1	
UBD	39959_at
IGHV7-40	
IGHV3-69-1	34105_f_at
IGHV1-69D	
IGHV3-29	
IGHV3-36	
IGHV1-58	
IGHV2-5	
IGHV3-47	
IGHVIII-44	
IGHV8-51-1	
IGHV3-57	
IGHV3-63	
IGHVIII-26-1	
	33613_at
IGHVII-30-1	
IGHD1-1	
IGHV6-1	
IGHV3-60	
IGHV3-38	
LILRB4	
LILRB4	36753_at
IGHV3-73	
IGHV4-61	
IGHD5-18	
IGHVII-51-2	
IGHD6-13	
IGHV3-74	34105_f_at
IGHV3-25	
IGHVII-65-1	
IGHV3-75	
IGHV2-70D	
	34095_f_at
IGHD1-7	
IGHVII-33-1	
IGHV3-37	
IGHVII-26-2	
IGHV3-62	
ATP5MC1P1	
IGHV1-67	
IGHVII-1-1	
IGHD2-2	
HOMER2P1	
IGHVIV-44-1	
IGHD4-11	
IGHV1-69-2	
IGHV3-30	
IGHVIII-67-4	
VARS1	
VARS1	40414_at
IGHV4-4	
CUTA	
IGHG2	37864_s_at
GAL3ST2	
NEU4	
IGHV3-71	
IGHV1-69	
IGHV3-52	
IGHV3-49	
COPDA1	
IGHV3-76	
IGHVII-49-1	
IGHV1-46	
SLC20A1P1	
IGHVII-60-1	
IGHV5-78	
IGHV3-23	35566_f_at
CLN8	
IGHVIII-67-2	
IGHV1-14	
MCCD1P1	
BAG6	
BAG6	33838_at
CLN8-AS1	
GARRE1	32208_at
LINC00242	
LINC00574	
DYNLT2	
RN7SKP117	
RPS27P14	
MARVELD2	
SAPCD1-AS1	
HLA-DPB2	
RNF5	33347_at
LINC01237	
EHMT2	36200_at
EHMT2	
FAM240C	
HLA-J	35017_f_at
TRIM31	35029_at
TRIM31	35064_at
TRIM31	
RTP5	
PDCD1	33085_at
C6orf15	
GRK1	31562_at
TMEM255B	
TMC4	
LINC00552	
ADAM9	34761_r_at
RPL7AP80	
HLA-U	
	35292_at
COL11A2P1	
MTCO2P32	
LPCAT1	
LPCAT1	41176_at
LPCAT1	41177_at
RNU6-164P	
ADAM32	
LILRB1-AS1	
LILRB3	37148_at
LILRB3	
GAPDHP26	
BAAT	36384_at
TAF4	
TAF4	142_at
FYTTD1P1	
TRMT112P4	
PLPPR1	
CDH4	1483_at
TUBB	151_s_at
B3GALT4	35944_at
SNHG32	
DHX16	39896_at
CLPTM1L	
TRPC6P4	
HLA-DRB2	
GLIS2	
TSBP1	
OCLN	38524_at
OCLN	
VASN	
MAPK15	
CORO7-PAM16	
LY6L	
LY6H	36394_at
LYPLA2P1	
HLA-DPA2	34072_s_at
TRIM40	
NPIPA5	
NOMO1	33414_at
NOMO1	
LINC02536	
PTPRK-AS1	
MRPS17P5	
PTPRK	1488_at
PTPRK	
FAM83H	
SMIM10L1	36023_at
LINC02904	
LINC02878	
GLIS2-AS1	
GFUS	36936_at
GFUS	
NMRAL1	
PRB3	
CCDC125	
MSH5	
MSH5	41467_at
LINC01511	
SLC6A3	36305_at
SLC6A3	
LY6E	37360_at
LY6E	
TAS2R42	
PSMB8	41184_s_at
ADAM18	
ADAM18	32014_at
LY6G5B	
CCL23	36444_s_at
CCL23	36445_at
SUCLA2P1	
HLA-DRB1	33261_at
HLA-DRB1	41723_s_at
