hgnc_symbol	affy_hg_u133b
CTDP1	
DECR2	
MREGP1	
	228245_s_at
AP2A2	
SNTB2	
RPL4P5	200089_s_at
PHRF1	234952_s_at
PHRF1	
UTP4	224903_at
UTP4	230656_s_at
UTP4	
SINHCAF	223038_s_at
SINHCAF	
MAD2L1-DT	
GART	230766_at
GART	
ABR	231400_s_at
ABR	
MEGF11	
RPS5P3	
DNAJC28	
UGT2A3	
B3GNTL1	
IFNGR2	
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	243774_at
MUC20-OT1	231941_s_at
MUC20-OT1	229820_at
MUC20-OT1	230077_at
CDH12P2	
PMCHL2	224422_x_at
PMCHL2	224419_x_at
PMCHL2	224421_x_at
PMCHL2	224423_x_at
PMCHL2	224418_x_at
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	
RAB11FIP3	
GTF2H2	230177_at
GTF2H2	223758_s_at
GTF2H2	
RNU6-1025P	
UGT2B15	
SDHAP2	
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	240441_at
DIS3L-AS1	
TMPRSS11E	
LINC02708	242841_at
KRTAP5-AS1	
TMEM50B	228001_at
TMEM50B	225182_at
TMEM50B	222907_x_at
TMEM50B	
NDUFA6	
DUSP8	238594_x_at
DUSP8	
GNG5P1	
TCF20	
FAM99B	240441_at
IFITM10	227886_at
IFITM10	227863_at
KRTAP5-3	
KRTAP5-2	
SMDT1	225794_s_at
SMDT1	225795_at
SMDT1	228117_at
YTHDC1	240459_at
YTHDC1	228556_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	228117_at
NDUFA6-DT	
OLA1P1	
CYP2D7	
LINC02982	
NKD2	232201_at
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L17P	
	242841_at
CYP2D8P	
GOLGA2P10	
SLC12A7	
LMNTD2	236050_at
LMNTD2	
UBE2Q2P6	
TIMM22	222841_s_at
TIMM22	229100_s_at
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	
MIR210HG	230710_at
MIR210HG	236480_at
	244498_x_at
LINC00824	
RNH1	
UBE2Q2P2	
	200032_s_at
MUC20	231941_s_at
MUC20	243774_at
MUC20	
KIF26B	
KIF26B	238617_at
RPL7AP55	
OR10A3	
OR5P2	
OR5E1P	
OR5P3	
OR10A6	
NLRP10	
SERF1B	223539_s_at
SERF1B	223538_at
TARM1	
CYP2D6	
MBOAT7	
NAIP	
CNOT3	
DRD4	
DEAF1	
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
OR2T4	
RDH13	225449_at
RDH13	225467_s_at
IRF7	
OR2T7	
OR2T1	
BDH1	239643_at
BDH1	
OR2T3	
TSEN34	
OR2T5	
TMEM179	
VSTM1	235818_at
VSTM1	
OR2W1	
NOP56P1	
OR14J1	234545_at
TRIM27	
GP6	
C14orf180	
MCCC2	
PKLR	
NLRP2	
LILRA4	
	226403_at
HCG14	
HRAS	
RPL13P	
ZNF311	236550_s_at
ZNF311	236551_at
BDP1	231939_s_at
BDP1	224227_s_at
BDP1	226290_at
BDP1	
PSMB1	
	243962_at
FAM120B	227895_at
FAM120B	226774_at
LENG1	232018_at
LINC01623	
ICE2P1	
LINC01060	
LINC01015	231571_at
OR2B3	234903_at
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	
LST1	
DENND11	223161_at
DENND11	223162_s_at
DENND11	227502_at
LMNTD2-AS1	
RASSF7	
NLRP7	237461_at
RPS9	
PCGF7P	
ZNF729	
ZNF676	
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
SSBP1	
DLL1	227938_s_at
DLL1	224215_s_at
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
TFPT	
OR2J3	
	238446_at
HLA-H	
MICB	
LINC02197	
DEFB104B	
AGK	
SERF1A	223539_s_at
SERF1A	223538_at
DEFB105B	
PRPF31	
PRR23D1	240731_at
WEE2	
DEFB4B	
FAM90A7	
LILRB1	
DEFB103B	224239_at
	223162_s_at
	227502_at
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	
HCN3	228741_s_at
HCN3	
DEFB107B	
OR2U2P	
TRIM10	
FAM90A6P	
SPAG11B	
SCT	
FAM189B	
PTDSS2	
DEFB106B	
MICG	
RNF39	
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	
OR11A1	
LINC03015	
PRAMEF5	
FAM20C	
MOG	
LINC03014	233176_at
PRAMEF22	
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	
HNRNPCL2	
RPS17P1	
OR5V1	234840_s_at
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	
PRAMEF9	
LY6G6F	234897_s_at
MYL6P5	
TMEM183AP1	
PSORS1C1	
HLA-T	
HLA-DRA	
PPP1R11	
BTNL2	
TOMM40P4	
CDRT15P3	
	242418_at
RPL7P4	
RPL7AP7	
LTB	
CEACAM4	
LINC01556	
TMPOP1	
PSMB9	
CEACAMP3	
PLEKHA3P1	227658_s_at
DNAJC19P2	
CEACAM21	
LILRA3	
GOLGA6L24P	
FAM189A1	
ATP23	
ATP23	227678_at
GABBR1	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
PTPRN2	
	241624_at
	244631_at
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
GIHCG	226546_at
RN7SKP65	
LILRB2	
HLA-G	
KIR3DX1	
LILRA6	
ZFP57	231236_at
OR2H5P	
OR5V1	
GPR53P	
OR2J2	
HLA-DRB9	
MSH5-SAPCD1	
PHLDA2	
CARS1	240983_s_at
CARS1	
FAM138D	
IQSEC3	
CTSO	
HERC2	222461_s_at
HERC2	
MROH5	
SPPL2C	231253_at
ASIC5	
RPS7P11	200082_s_at
TDO2	
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
	232841_at
ZNRD1ASP	
ZNRD1ASP	234457_at
ZNRD1ASP	234097_s_at
HNRNPA1P38	
PTP4A3	
SLC39A11	
KANSL1-AS1	230388_s_at
WHAMMP2	244105_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	233929_x_at
WASH8P	226340_x_at
WASH8P	225035_x_at
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	237503_at
WNT3	229103_at
WNT3	231743_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	
DHX16	
GPR20	
DND1P1	
ANO4	236420_s_at
ANO4	229749_at
ARHGAP27	225618_at
ARHGAP27	227057_at
ARHGAP27	
APOM	
MAMDC2-AS1	
MAMDC2	
HLA-K	
HSPA1B	
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	
C4B_2	235856_at
RPH3AL-AS2	244880_at
RPH3AL-AS1	238091_at
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
	240974_at
NSMCE3	226008_at
HERC2P9	
RPL41P2	
GOLGA6L25P	
GOLGA8F	
OR2U1P	
LINC00533	
MUC2	
MAPT-IT1	
	244880_at
CHRFAM7A	
	224490_s_at
	224489_at
APBA1	228101_at
APBA1	
OR2H4P	234760_at
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	
SCARF1	
TTYH1	
MAPT-AS1	237331_s_at
MAPT-AS1	237536_at
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	
NDUFB9P1	
NSF	
PRH2	
ARHGAP11A	
TRBV11-1	
TAF9	
TRBV7-6	
LINC02688	231278_at
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	
OR2J4P	
TRBV7-1	
HCG18	225584_at
HCG18	225577_at
HCG18	242618_at
HCG18	242812_at
TAS2R7	
TRBV25-1	234865_at
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	
STK19	243719_at
TAS2R14	235762_at
TRBV5-7	
IGKV1OR2-118	
TRBV27	
TAS2R9	
TRBV7-2	
TRBV21-1	
TRPV5	
TAS2R45	234042_at
TAS2R31	
TAS2R13	
RAD17	
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	234371_at
ASH2LP1	
MAS1L	234820_at
PRR4	
IGLV3-30	
OR2H2	
IGLV1-44	
IGLV3-32	
ATAT1	
ATAT1	228510_at
ZNF280B	230789_at
ZNF280B	229360_at
ARMC10	223328_at
ARMC10	
DDR1-DT	
NEU1	
KCNQ1	
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	237069_s_at
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	
IGLV1-36	
ZNF280A	
KCNQ1-AS1	
TLCD2	241359_at
IGLV2-33	
	241449_at
NAP1L4	
NAP1L4	244001_at
IGLV5-45	
PRAME	
WDR81	
WDR81	226738_at
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
TRIM39	222732_at
MYOM2	
NLRP7	
MAPT	225379_at
MAPT	
MAPT	233117_at
SMIM10L1	
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	
TRBJ2-2P	
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	
TRBV10-2	
LLCFC1	231435_at
NAPEPLD	242229_at
NAPEPLD	242635_s_at
NAPEPLD	
NAPEPLD	226041_at
NAPEPLD	238722_x_at
NAPEPLD	233539_at
TRBV9	
PRSS3P1	
TRBC1	
TRBJ2-1	
HSPA1A	
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
TRPV6	
HSPA1L	
GPSM3	
IGLV7-35	
SCGB1C2	
C22orf15	
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	244366_at
KRT31	
RXRB	
CABIN1	
SMARCB1	
AZU1	
TBC1D3P7	
SLC43A2	226629_at
SLC43A2	
KRT33A	
CRYZP1	
MICC	
LSM2	
KRT37	
PRTN3	
KRTAP16-1	
KRT34	
TRBV6-7	
KRTAP17-1	234680_at
PRSS2	
KRT33B	
TRBV7-3	234883_x_at
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	
PLPPR3	
PRSS1	
KRT18P1	
PRRT1	229890_at
PRRT1	231739_at
PRRT1	230054_at
PRRT1	
ATP6V1G3	230565_at
MED16	
CLIC1	
LENG8	224673_at
LENG8	
TJP1	
CCL3-AS1	
TBC1D3I	
TRBV23-1	
	234377_at
PTPRC	
LY6G6E	
TRBV5-4	
PRSS3P2	
KBTBD11-AS1	
MIF	
KBTBD11	
OR6V1	
HCG21	
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	236045_x_at
DOC2B	
MGAM2	
HLA-DOB	
LINC03021	
ARHGEF10	
DERL3	228897_at
DERL3	229721_x_at
DERL3	
ELANE	
CNOT3	229143_at
LINC02887	234664_at
RILP	227366_at
CFD	
HLA-DRB3	
OR9A2	
TRBV13	
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	232167_at
SLC2A11	
EPHB6	
CDKN1C	
CCL3L1	
CCL3L3	
CARS1-AS1	
OR12D3	
COX6CP18	
DDX39BP2	
SLC22A18	
TBC1D3B	
TSBP1	
ARL17B	
ARL17B	229028_s_at
PRPF8	200000_s_at
PRPF8	
CCL18	
PSORS1C2	
HCP5	
SALL3	
SALL3	243672_at
SALL3	232847_at
SALL3	230785_at
GOLGA8J	
PEBP1P3	
TCF19	223274_at
LINC01896	230889_at
GREM1	
ATP9B	
CHRNA7	
	232824_at
CES1P1	
CDK7	
NCR3	
CES5A	
FAN1	
PSORS1C3	238997_at
SLC22A18AS	
KCNQ1DN	
NLRP2	237489_at
SNORA54	
SAPCD1	
ETF1P1	
HLA-P	
SCG5	
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	225390_s_at
KLF13	
MGAM	
DDAH2	
GSDMD	
HLA-W	
TNXA	
MTCO3P1	
HLA-DRB4	
TRBV16	
TRBVB	
TRBV6-1	
KANSL1	
KANSL1	225117_at
CCL3	
PRSS58	237513_at
NCF4-AS1	244237_at
NCF4-AS1	
NCF4	
TRBV24-1	234886_at
POLR1H	227673_at
POLR1H	234530_s_at
POLR1H	234115_s_at
POLR1H	234114_at
POLR1H	223639_s_at
POLR1H	228009_x_at
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	
CUBNP2	
MARCHF8	231933_at
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
TRBJ2-3	
CCL4	
OR6D1P	
TRBV7-5	
	236788_at
TRBJ2-5	
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
TRBV6-4	
ALOX5	
TRBJ1-2	
TRBD1	
SERPINF2	
TRBJ2-4	
TRBV6-2	
PVALB	
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	239068_at
GNL1	238487_at
GNL1	228857_at
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	
CDC42EP5	227850_x_at
CDC42EP5	
HLA-DQB3	
TAP1	
CES1	
LRRC37A	
ZC3H3	
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	
VWA7	
LRRC37A3	
EGFL8	
TAMM41	226815_at
TAMM41	
EEF1D	
RNU6-1207P	
TNXB	
OR2H1	
TRIM15	
DDT	
PATL2	
TRIM69	232792_at
TRIM69	
MARK2P14	
NUP210P2	
LTA	
DDR1	
HCG4B	
HCG27	
RPS26P8	
KIF5C	
OR12D1	
NRM	225592_at
POMZP3	
GSTT1	
GSTT1	232193_at
LILRA1	
TC2N	234970_at
TC2N	
ABR-AS1	
TRARG1	239523_at
PPT2	
YWHAE	
UPK3B	
MIF-AS1	
GSTT3P	
GSTT2	
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	
SORD2P	
SPDYE16	232964_at
SPDYE16	
	233762_at
B2M	
B2M	232311_at
CHCHD10	224932_at
ABHD16A	224756_s_at
ABHD16A	230221_at
ABHD16A	
DTX2	
GSTT4	
DDTL	
LINC00588	
MMP11	
LINC01606	
HCG9P5	
IGHA2	
MDC1	
MCCD1	
FLOT1	
	241422_at
IGHD4-17	
ZNF251	
ZNF251	226754_at
IGHEP1	
MAP3K14	
IGHG3	
UBQLN1P1	
UQCRHP1	
OR10C1	
IGHJ5	
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	
IGHD7-27	
IGHV3-11	
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	
GSTT2B	
IGHE	
APOL5	
HLA-A	
IGHV1-24	
PPP1R18	224927_at
PPP1R18	225592_at
IGHJ3P	
FAM30A	
LAIR2	
RBFOX2	
ELK2BP	
IGHA1	
RN7SL268P	
IGHD1-14	
IGHV1-3	
IGHVIII-38-1	
IGHV7-34-1	
RDM1P2	
IGHV4-34	
	234390_x_at
IGHGP	
LINC02829	
HLA-Z	
IGHM	
IGHV4-39	
STH	
IGHG1	228518_at
IGHG1	
HLA-DMB	
LINC02570	
LINC02825	
LENG9	
IGHV3-33	
TBX22	224017_at
TBX22	
IGHD6-25	
POLR3GP1	
IGHD2-8	
IGHVIII-47-1	
IGHV3-21	
IGHV1-17	
IGHD6-6	
	243729_at
	242874_at
IGHD	230877_at
NANOGP7	
CXADRP2	
LINC02203	
PPP1R2P1	
IGHV1-12	
IGHD2-21	
IGHD5-12	
SLC20A1P2	
IGHJ6	
HLA-N	
IGHV1-45	
LONRF2P4	
	232538_at
IGHV3-50	
IGHV4-28	
IGHV3-53	
CHCHD2P2	
IGHD4-23	
IGHG4	
	243332_at
	234912_at
GTF2H2C_2	223758_s_at
GTF2H2C_2	
OR4M2B	
ERMARD	232258_at
ERMARD	
ERMARD	227656_at
DDX6P1	
GRAMD4P6	
NBEAP4	
NF1P9	
PPIAP9	
IGHJ2P	
IGHV1-68	
IGHVIII-22-2	
IGHVII-40-1	
IGHV3-54	234390_x_at
C2	
IGHJ3	
IGHV3-16	
POTEB3	
IGHJ4	
IGHJ1P	
IGHV7-56	
IGHV3-13	
ADAM2	
PFDN6	233588_x_at
PFDN6	
IGHV1-18	
IGHVIII-25-1	
IGHD3-9	
IGHVIII-2-1	
IGHVII-74-1	
IGHVII-15-1	
IGHVII-44-2	
IGHV3-19	
ADAM6	237909_at
IGHD1-20	
IGHVIII-11-1	
IGHVIII-5-1	
IGHVIII-13-1	
IGHV1-2	
SPACA7	231405_at
SPACA7	
IGHVIII-67-3	
IGHV3-30-2	234390_x_at
HOMER2P2	
IGHD5-24	
IGHD2-15	
IGHV3-64	
IGHV3-65	
IGHV3-35	
IGHVII-22-1	
ELK2AP	
DUX4L9	
IGHV3-15	
TUBB7P	
IGHV5-51	
FRG2	
CEP72-DT	
CEP72	
IGHVII-46-1	
IGHV3-42	
IGHV3-6	
IGHV3-7	
TUBGCP3	
IGHV2-26	
IGHV4-55	
SLC9A3	
IGHD5-5	
GPI	
IGHD4-4	
IGHD3-10	
IGHVII-67-1	
IGHV7-27	
IGHV3-41	
IGHVII-62-1	
IGHVIII-5-2	
IGHV4-59	
LINC01070	
IGHV3-33-2	234390_x_at
IGHV2-70	
LINC01043	
IGHVIII-76-1	
IGHV3-43	
LINC01044	
IGHV3-66	
HLA-DMA	
IGHD3-16	
IGHVII-53-1	
IGHV3-22	
IGHV3-72	
IGHV3-48	
FRG1	
UBD	
IGHV7-40	
IGHV3-69-1	
IGHV1-69D	
IGHV3-29	
IGHV3-36	
IGHV1-58	
IGHV2-5	
IGHV3-47	
IGHVIII-44	
IGHV8-51-1	
IGHV3-57	
IGHV3-63	
IGHVIII-26-1	
IGHVII-30-1	
IGHD1-1	
IGHV6-1	
IGHV3-60	
IGHV3-38	
LILRB4	
IGHV3-73	
RDH13	
IGHV4-61	
IGHD5-18	
IGHVII-51-2	
IGHD6-13	
IGHV3-74	
IGHV3-25	
IGHVII-65-1	
IGHV3-75	
IGHV2-70D	
IGHD1-7	
IGHVII-33-1	
IGHV3-37	
IGHVII-26-2	
IGHV3-62	
ATP5MC1P1	
IGHV1-67	
IGHVII-1-1	
IGHD2-2	
HOMER2P1	
IGHVIV-44-1	
IGHD4-11	
IGHV1-69-2	
IGHV3-30	
IGHVIII-67-4	
VARS1	
IGHV4-4	
CUTA	
IGHG2	
GAL3ST2	
NEU4	222957_at
NEU4	
IGHV3-71	
IGHV1-69	
IGHV3-52	
IGHV3-49	
COPDA1	
IGHV3-76	
IGHVII-49-1	
IGHV1-46	
SLC20A1P1	
IGHVII-60-1	
IGHV5-78	
IGHV3-23	
CLN8	
CLN8	229958_at
CLN8	222874_s_at
CLN8	223912_s_at
IGHVIII-67-2	
IGHV1-14	
MCCD1P1	
BAG6	
CLN8-AS1	227092_at
LINC00242	
LINC00574	
DYNLT2	
RN7SKP117	
RPS27P14	
MARVELD2	235955_at
MARVELD2	235141_at
MARVELD2	
SAPCD1-AS1	230096_at
HLA-DPB2	239975_at
HLA-DPB2	
RNF5	
LINC01237	
EHMT2	
FAM240C	238196_at
HLA-J	
TRIM31	
RTP5	
PDCD1	
C6orf15	
GRK1	
TMEM255B	
TMC4	226403_at
TMC4	
LINC00552	
ADAM9	
RPL7AP80	
HLA-U	
	200041_s_at
COL11A2P1	
MTCO2P32	
LPCAT1	
RNU6-164P	
ADAM32	
LILRB1-AS1	
LILRB3	
GAPDHP26	
BAAT	
TAF4	
FYTTD1P1	
TRMT112P4	
PLPPR1	
	234897_s_at
CDH4	
TUBB	
B3GALT4	
SNHG32	
CLPTM1L	
TRPC6P4	
HLA-DRB2	
GLIS2	223378_at
OCLN	227492_at
OCLN	
VASN	225867_at
MAPK15	241357_at
MAPK15	
CORO7-PAM16	
LY6L	
	230177_at
LY6H	
LYPLA2P1	
HLA-DPA2	
TRIM40	
NPIPA5	
NOMO1	
LINC02536	
PTPRK-AS1	
MRPS17P5	
PTPRK	
FAM83H	241406_at
FAM83H	226129_at
SMIM10L1	237386_at
SMIM10L1	238915_at
LINC02904	
LINC02878	241475_at
GLIS2-AS1	
GFUS	
NMRAL1	223206_s_at
NMRAL1	231271_x_at
NMRAL1	
PRB3	
CCDC125	
MSH5	
LINC01511	240162_at
SLC6A3	
LY6E	
TAS2R42	
PSMB8	
ADAM18	
LY6G5B	231777_at
CCL23	
SUCLA2P1	
HLA-DRB1	
HLA-DPA1	
	225449_at
NAIPP4	
	238620_at
TBC1D3G	
	226362_at
	226365_at
HMGN1P12	
CFL1P5	
AK6	
PRB4	
	226708_at
TAS2R43	234042_at
PUF60	
HMOX2	
PRH1	
C6orf47-AS1	
LY6E-DT	
AK3P2	
	241804_at
TSPY24P	
ZNF92P1Y	
RBMY3AP	
RFTN1P1	
CCL16	
SERBP1P2	
TSPY12P	
DUX4L19	
TTTY12	224195_at
TTTY12	
TTTY7B	233151_s_at
TTTY7B	234309_at
RPL3P10	
DDX52	
OFD1P3Y	
RBMY2HP	
TTTY6	224041_at
ELOCP35	
SLC9B1P1	
USP12PY	
TTTY23	
KDM5DP1	
TTTY7	233151_s_at
TTTY7	234309_at
LINC00279	
DUX4L17	
PRY	
	239307_at
RRN3	
	224426_s_at
	224424_x_at
	224425_x_at
TSPY18P	
PCMTD1P1	
HSFY7P	
ZNF736P6Y	
TUSC2P1	
RBMY2AP	
FAM197Y5	
TTTY2B	
TTTY21	
MRPS36	224302_s_at
PUDPP1	
CDRT15P10	
USP9Y	
USP9Y	228492_at
HLA-F	
	226200_at
HLA-E	
CDH12P4	
TBC1D3K	
RING1	
ZDHHC20P1	
IER3	
FKBPL	
RPL12P1	
RPS18	
CYP21A1P	
HLA-DPB1	
AIF1	
HMGB1P24	
LHX1-DT	
LYZL6	
LY6G6C	
MRPL45	224479_s_at
CDY3P	
PRY2	
PARN	
TSPY25P	
OFD1P8Y	
NAPRT	226707_at
NAPRT	
