hgnc_symbol	affy_hg_u95b
MUC20-OT1	
CDH12P2	
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	
RAB11FIP3	
GTF2H2	
RNU6-1025P	
UGT2B15	
SDHAP2	
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	
DIS3L-AS1	
TMPRSS11E	
LINC02708	
KRTAP5-AS1	
TMEM50B	
TMEM50B	57721_at
NDUFA6	
DUSP8	46483_at
DUSP8	
GNG5P1	
TCF20	
FAM99B	
IFITM10	
KRTAP5-3	
KRTAP5-2	
SMDT1	57173_at
SMDT1	42976_g_at
SMDT1	42977_at
YTHDC1	46050_r_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	42976_g_at
NDUFA6-DT	42977_at
NDUFA6-DT	42975_at
OLA1P1	
CYP2D7	
LINC02982	
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L17P	
CYP2D8P	
GOLGA2P10	
SLC12A7	44744_at
SLC12A7	
LMNTD2	
UBE2Q2P6	
TIMM22	
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	
MIR210HG	
LINC00824	
RNH1	
UBE2Q2P2	
MUC20	
KIF26B	
KIF26B	52478_at
RPL7AP55	
OR10A3	
OR5P2	
OR5E1P	
OR5P3	
OR10A6	
NLRP10	
NDUFA6-DT	
SERF1B	51220_at
SERF1B	
TARM1	
CYP2D6	
MBOAT7	
NAIP	
CNOT3	
DRD4	
DEAF1	
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
OR2T4	
RDH13	57866_at
IRF7	43350_f_at
IRF7	
OR2T7	
OR2T1	
BDH1	47920_at
BDH1	
OR2T3	
TSEN34	44707_at
TSEN34	
OR2T5	
TMEM179	
VSTM1	
OR2W1	
NOP56P1	
OR14J1	
TRIM27	
GP6	
C14orf180	
MCCC2	
PKLR	
NLRP2	
LILRA4	
	46109_at
HCG14	
HRAS	
RPL13P	
ZNF311	
BDP1	
PSMB1	
FAM120B	
FAM120B	45629_at
LENG1	
LINC01623	
ICE2P1	
LINC01060	
LINC01015	56072_at
LINC01015	
OR2B3	
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	
LST1	
DENND11	58324_at
DENND11	53745_at
DENND11	
LMNTD2-AS1	
RASSF7	
NLRP7	
RPS9	
PCGF7P	
ZNF729	
	43836_s_at
ZNF676	
GBA	43836_s_at
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
SSBP1	
DLL1	
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
TFPT	
OR2J3	
HLA-H	
MICB	
LINC02197	
DEFB104B	
AGK	
AGK	52142_at
SERF1A	51220_at
SERF1A	
DEFB105B	
PRPF31	
PRR23D1	
WEE2	
DEFB4B	
FAM90A7	
LILRB1	
DEFB103B	
	53745_at
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	
HCN3	
DEFB107B	
OR2U2P	
TRIM10	
FAM90A6P	
SPAG11B	
SCT	
FAM189B	
PTDSS2	
DEFB106B	
MICG	
RNF39	
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	
OR11A1	
LINC03015	
PRAMEF5	
FAM20C	
MOG	
LINC03014	
PRAMEF22	
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	
MBOAT7	56120_at
HNRNPCL2	
RPS17P1	
OR5V1	
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	
PRAMEF9	
LY6G6F	
MYL6P5	
TMEM183AP1	
PSORS1C1	
PSORS1C1	48345_at
HLA-T	
HLA-DRA	
PPP1R11	
BTNL2	
TOMM40P4	
CDRT15P3	
	49785_at
RPL7P4	
RPL7AP7	
LTB	
CEACAM4	
LINC01556	51504_at
TMPOP1	
PSMB9	
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	
LILRA3	
GOLGA6L24P	
FAM189A1	
ATP23	
ATP23	53933_at
GABBR1	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
PTPRN2	
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
GIHCG	
RN7SKP65	
LILRB2	
HLA-G	
KIR3DX1	
LILRA6	
ZFP57	
OR2H5P	
GPR53P	
OR2J2	
HLA-DRB9	
MSH5-SAPCD1	
PHLDA2	
CARS1	
FAM138D	
IQSEC3	
CTSO	45500_at
CTSO	48760_s_at
HERC2	51165_at
HERC2	
MROH5	
SPPL2C	
ASIC5	
RPS7P11	
	53612_at
TDO2	
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
ZNRD1ASP	
HNRNPA1P38	
PTP4A3	
SLC39A11	
KANSL1-AS1	
WHAMMP2	
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	
WNT3	56093_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	
DHX16	
GPR20	
DLGAP2	47470_at
DND1P1	
ANO4	
ARHGAP27	57870_at
ARHGAP27	53925_at
ARHGAP27	
APOM	
MAMDC2-AS1	
MAMDC2	42888_at
MAMDC2	
HLA-K	
HSPA1B	
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	52388_at
RPH3AL-AS1	52390_g_at
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	
HERC2P9	
RPL41P2	
GOLGA6L25P	
GOLGA8F	
OR2U1P	
LINC00533	
MUC2	
MAPT-IT1	
CHRFAM7A	
APBA1	58428_at
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	
SCARF1	
TTYH1	
TTYH1	48513_at
MAPT-AS1	
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	
NDUFB9P1	
NSF	
PRH2	
ARHGAP11A	
TRBV11-1	
TAF9	
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	
OR2J4P	
TRBV7-1	
HCG18	58942_at
HCG18	54006_at
HCG18	58739_at
TAS2R7	
TRBV25-1	
LRRC37A2	51900_g_at
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	
TAS2R14	48344_at
TRBV5-7	
IGKV1OR2-118	
TRBV27	
TAS2R9	
TRBV7-2	
TRBV21-1	
	44468_at
TRPV5	
TAS2R45	
TAS2R31	
TAS2R13	
RAD17	
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	
PRR4	
PRR4	57253_at
IGLV3-30	
OR2H2	
IGLV1-44	
IGLV3-32	
ATAT1	56149_at
ATAT1	
ZNF280B	46397_at
ZNF280B	51835_at
ARMC10	
DDR1-DT	
NEU1	
KCNQ1	
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	49609_r_at
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	
IGLV1-36	
ZNF280A	
KCNQ1-AS1	
TLCD2	
IGLV2-33	
NAP1L4	
IGLV5-45	
PRAME	
WDR81	
WDR81	56293_at
RPL23AP95	
DPY19L2P2	54341_r_at
DPY19L2P2	54337_f_at
HLA-DQB1-AS1	
TRIM39	
TRIM39	46182_at
MYOM2	
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	48591_at
RPP21	
TRBJ2-2P	
LY6G5C	51076_at
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	
TRBV10-2	
LLCFC1	52401_at
LLCFC1	42483_g_at
LLCFC1	42482_at
NAPEPLD	58038_at
NAPEPLD	
NAPEPLD	43067_at
TRBV9	
PRSS3P1	
TRBC1	44983_at
TRBJ2-1	
HSPA1A	
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
TRPV6	
HSPA1L	
GPSM3	
IGLV7-35	
SCGB1C2	
C22orf15	
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	
KRT31	
RXRB	
RPH3AL	43648_at
CABIN1	
SMARCB1	
AZU1	
TBC1D3P7	
SLC43A2	55601_at
SLC43A2	
KRT33A	
CRYZP1	
MICC	
LSM2	
KRT37	
PRTN3	
KRTAP16-1	
KRT34	
TRBV6-7	
KRTAP17-1	
PRSS2	
KRT33B	
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	
PLPPR3	
PRSS1	
KRT18P1	
PRRT1	46404_at
PRRT1	
ATP6V1G3	
MED16	43544_at
MED16	
CLIC1	
LENG8	
TJP1	
CCL3-AS1	
TBC1D3I	
TRBV23-1	
PTPRC	
LY6G6E	
TRBV5-4	
PRSS3P2	
KBTBD11-AS1	
MIF	
KBTBD11	
OR6V1	
HCG21	
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	
	42138_at
MGAM2	
HLA-DOB	
LINC03021	
ARHGEF10	
DERL3	
ELANE	
LINC02887	
RILP	
CFD	
HLA-DRB3	
OR9A2	
TRBV13	
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	
EPHB6	
CDKN1C	
CCL3L1	
CCL3L3	
CARS1-AS1	
OR12D3	
COX6CP18	
DDX39BP2	
SLC22A18	
TBC1D3B	
TSBP1	
ARL17B	
PRPF8	
CCL18	
PSORS1C2	
HCP5	
SALL3	
SALL3	49147_at
GOLGA8J	
PEBP1P3	
TCF19	53844_g_at
TCF19	53839_at
LINC01896	
GREM1	51995_at
GREM1	50306_at
ATP9B	
CHRNA7	
CES1P1	
CDK7	
NCR3	
CES5A	
FAN1	
PSORS1C3	
SLC22A18AS	
KCNQ1DN	
SNORA54	
SAPCD1	
ETF1P1	
HLA-P	
SCG5	
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	54127_at
KLF13	
MGAM	
DDAH2	
GSDMD	
HLA-W	
TNXA	
MTCO3P1	
HLA-DRB4	
TRBV16	
TRBVB	
TRBV6-1	
KANSL1	44791_at
KANSL1	
CCL3	
PRSS58	49775_at
NCF4-AS1	
NCF4	
TRBV24-1	
POLR1H	43442_s_at
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	
CUBNP2	
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
TRBJ2-3	
CCL4	
OR6D1P	
TRBV7-5	
TRBJ2-5	
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
TRBV6-4	
ALOX5	
TRBJ1-2	
TRBD1	
SERPINF2	
TRBJ2-4	
TRBV6-2	
PVALB	
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	
CDC42EP5	
HLA-DQB3	
TAP1	
CES1	
LRRC37A	51900_g_at
LRRC37A	
ZC3H3	
PYCR3	58329_at
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	
VWA7	
LRRC37A3	51900_g_at
LRRC37A3	
EGFL8	
TAMM41	
EEF1D	
RNU6-1207P	
TNXB	
OR2H1	
TRIM15	
DDT	
PATL2	
TRIM69	
MARK2P14	
NUP210P2	
LTA	
DDR1	
HCG4B	
HCG27	51293_at
RPS26P8	
KIF5C	
OR12D1	
NRM	
POMZP3	
GSTT1	
LILRA1	
TC2N	
HCG27	
ABR-AS1	
TRARG1	
PPT2	
YWHAE	
UPK3B	
MIF-AS1	
GSTT3P	
GSTT2	
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	
SORD2P	
SPDYE16	
B2M	
CHCHD10	57210_at
ABHD16A	57204_at
ABHD16A	
DTX2	
GSTT4	
DDTL	
LINC00588	
MMP11	
LINC01606	
HCG9P5	
IGHA2	43372_f_at
MDC1	
MCCD1	
FLOT1	
	58893_at
IGHD4-17	
ZNF251	
ZNF251	45130_at
IGHEP1	
MAP3K14	
IGHG3	
UBQLN1P1	
UQCRHP1	
OR10C1	
IGHJ5	
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	
IGHD7-27	
IGHV3-11	
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	
GSTT2B	
IGHE	
APOL5	
HLA-A	
IGHV1-24	
PPP1R18	55757_at
IGHJ3P	
FAM30A	
LAIR2	
RBFOX2	45793_at
RBFOX2	
ELK2BP	
IGHA1	43372_f_at
RN7SL268P	
IGHD1-14	
IGHV1-3	
IGHVIII-38-1	
IGHV7-34-1	
RDM1P2	
IGHV4-34	
IGHGP	
LINC02829	
HLA-Z	
IGHM	
IGHV4-39	
STH	
	44791_at
IGHG1	
HLA-DMB	
LINC02570	
LINC02825	
LENG9	
IGHV3-33	
TBX22	
IGHD6-25	
POLR3GP1	
IGHD2-8	
IGHVIII-47-1	
IGHV3-21	
IGHV1-17	
IGHD6-6	
IGHD	
NANOGP7	
CXADRP2	
LINC02203	
PPP1R2P1	
IGHV1-12	
IGHD2-21	
IGHD5-12	
SLC20A1P2	
IGHJ6	
HLA-N	
IGHV1-45	
LONRF2P4	
IGHV3-50	
IGHV4-28	
IGHV3-53	
CHCHD2P2	
IGHD4-23	
IGHG4	
GTF2H2C_2	
OR4M2B	
ERMARD	
ERMARD	53648_at
DDX6P1	
GRAMD4P6	
NBEAP4	
NF1P9	
PPIAP9	
IGHJ2P	
IGHV1-68	
IGHVIII-22-2	
IGHVII-40-1	
IGHV3-54	
C2	
IGHJ3	
IGHV3-16	
POTEB3	
IGHJ4	
IGHJ1P	
IGHV7-56	
IGHV3-13	
ADAM2	
PFDN6	
IGHV1-18	
IGHVIII-25-1	
IGHD3-9	
IGHVIII-2-1	
IGHVII-74-1	
IGHVII-15-1	
IGHVII-44-2	
IGHV3-19	
ADAM6	48985_at
IGHD1-20	
IGHVIII-11-1	
IGHVIII-5-1	
IGHVIII-13-1	
IGHV1-2	
SPACA7	
IGHVIII-67-3	
IGHV3-30-2	
HOMER2P2	
IGHD5-24	
IGHD2-15	
IGHV3-64	
IGHV3-65	
IGHV3-35	
IGHVII-22-1	
ELK2AP	
DUX4L9	
IGHV3-15	
TUBB7P	
IGHV5-51	
FRG2	
CEP72-DT	
CEP72	
IGHVII-46-1	
IGHV3-42	
IGHV3-6	
IGHV3-7	
TUBGCP3	
IGHV2-26	
IGHV4-55	
SLC9A3	
IGHD5-5	
GPI	
IGHD4-4	
IGHD3-10	
IGHVII-67-1	
IGHV7-27	
IGHV3-41	
IGHVII-62-1	
IGHVIII-5-2	
IGHV4-59	
LINC01070	
IGHV3-33-2	
IGHV2-70	
LINC01043	
IGHVIII-76-1	
IGHV3-43	
LINC01044	
IGHV3-66	
HLA-DMA	
IGHD3-16	
IGHVII-53-1	
IGHV3-22	
IGHV3-72	
IGHV3-48	
FRG1	
UBD	
IGHV7-40	
IGHV3-69-1	
IGHV1-69D	
IGHV3-29	
IGHV3-36	
IGHV1-58	
IGHV2-5	
IGHV3-47	
IGHVIII-44	
IGHV8-51-1	
IGHV3-57	
IGHV3-63	
IGHVIII-26-1	
IGHVII-30-1	
IGHD1-1	
IGHV6-1	
IGHV3-60	
IGHV3-38	
LILRB4	
IGHV3-73	
RDH13	
IGHV4-61	
IGHD5-18	
IGHVII-51-2	
IGHD6-13	
IGHV3-74	
IGHV3-25	
IGHVII-65-1	
IGHV3-75	
IGHV2-70D	
IGHD1-7	
IGHVII-33-1	
IGHV3-37	
IGHVII-26-2	
IGHV3-62	
ATP5MC1P1	
IGHV1-67	
IGHVII-1-1	
IGHD2-2	
HOMER2P1	
IGHVIV-44-1	
IGHD4-11	
IGHV1-69-2	
IGHV3-30	
IGHVIII-67-4	
VARS1	
IGHV4-4	
CUTA	56361_g_at
CUTA	56360_at
IGHG2	
GAL3ST2	
	42145_at
NEU4	
IGHV3-71	
IGHV1-69	
IGHV3-52	
IGHV3-49	
COPDA1	
IGHV3-76	
IGHVII-49-1	
IGHV1-46	
SLC20A1P1	
IGHVII-60-1	
IGHV5-78	
IGHV3-23	
CLN8	
CLN8	58905_at
IGHVIII-67-2	
IGHV1-14	
MCCD1P1	
BAG6	
CLN8-AS1	
CLN8-AS1	48501_at
LINC00242	
LINC00574	
DYNLT2	
RN7SKP117	
RPS27P14	
MARVELD2	42522_at
MARVELD2	57617_at
MARVELD2	
SAPCD1-AS1	
HLA-DPB2	
RNF5	
LINC01237	
EHMT2	
FAM240C	48258_at
HLA-J	
TRIM31	
RTP5	
PDCD1	
C6orf15	
GRK1	
TMEM255B	
TMC4	46109_at
TMC4	
LINC00552	
ADAM9	
RPL7AP80	
HLA-U	
COL11A2P1	
MTCO2P32	
LPCAT1	
RNU6-164P	
ADAM32	
LILRB1-AS1	
LILRB3	
GAPDHP26	
BAAT	
TAF4	
FYTTD1P1	
TRMT112P4	
PLPPR1	49989_at
PLPPR1	
CDH4	
TUBB	
B3GALT4	
SNHG32	
CLPTM1L	
TRPC6P4	
HLA-DRB2	
GLIS2	
OCLN	43530_at
OCLN	
VASN	
MAPK15	
CORO7-PAM16	44715_at
LY6L	
LY6H	
LYPLA2P1	
HLA-DPA2	
TRIM40	
NPIPA5	
NOMO1	
LINC02536	
PTPRK-AS1	
MRPS17P5	
PTPRK	
FAM83H	54067_at
SMIM10L1	56728_at
LINC02904	
LINC02878	43259_at
GLIS2-AS1	
GFUS	
NMRAL1	
PRB3	
CCDC125	
MSH5	
LINC01511	59220_at
SLC6A3	
LY6E	
TAS2R42	
PSMB8	
ADAM18	
LY6G5B	55988_at
CCL23	
SUCLA2P1	
HLA-DRB1	
HLA-DPA1	
	57866_at
NAIPP4	
TBC1D3G	
HMGN1P12	
CFL1P5	
AK6	
PRB4	
PUF60	
HMOX2	
PRH1	
PRH1	57253_at
C6orf47-AS1	
LY6E-DT	
AK3P2	
TSPY24P	
ZNF92P1Y	
RBMY3AP	
RFTN1P1	
CCL16	
SERBP1P2	
TSPY12P	
DUX4L19	
TTTY12	
TTTY7B	
RPL3P10	
DDX52	46725_at
DDX52	
OFD1P3Y	
RBMY2HP	
TTTY6	
ELOCP35	
SLC9B1P1	
USP12PY	
TTTY23	
KDM5DP1	
TTTY7	
	51764_at
	59419_f_at
LINC00279	
DUX4L17	
PRY	
RRN3	
TSPY18P	
PCMTD1P1	
HSFY7P	
ZNF736P6Y	
TUSC2P1	
RBMY2AP	
FAM197Y5	
TTTY2B	
TTTY21	
MRPS36	45185_at
PUDPP1	
CDRT15P10	
USP9Y	
USP9Y	47940_at
HLA-F	
	46573_at
HLA-E	
CDH12P4	
TBC1D3K	
RING1	
ZDHHC20P1	
IER3	
FKBPL	52880_at
RPL12P1	
RPS18	
CYP21A1P	
HLA-DPB1	
AIF1	
HMGB1P24	
LHX1-DT	
LYZL6	
LY6G6C	
MRPL45	45578_s_at
CDY3P	
PRY2	
PARN	
TSPY25P	
OFD1P8Y	
NAPRT	
RNF19BPY	
TSPY23P	
HLA-DOA	
FAM197Y2	
TUBB1P2	
DUX4L31	
TSPY13P	
TBC1D3L	
ACTR3BP1	
RPS24P1	
RBMY2FP	
NEK4P1	
TTTY1B	
RCC2P2	
ZNF736P8Y	
RBMY2OP	
EIF1AY	
PAM16	44715_at
PAM16	
DHFRP2	
ZNF70P1	
AGER	
HLA-DRB7	
TSPY19P	
BPY2	
ACACA	
HLA-L	
CCDC166	
ZNF707	
MTND1P12	
STSP1	
CTBP2P1	
MTND6P1	
DLGAP5P1	
CDC27P2	
TTTY8B	
PABPC1P5	
TSPY22P	
RCC2P1	
SHROOM2P1	
TTTY2	
USP9YP22	
TTTY18	
DNAJA3	
RBMY2QP	
DUX4L18	
TSPY16P	
RBMY2BP	
RBMY2GP	
ZNF736P11Y	
OFD1P9Y	
BPY2DP	
RBMY2JP	
CHEK2P1	
RBMY2UP	
FAM224B	
ZNF886P	
HTATSF1P1	
ELOCP8	
OFD1P16Y	
TTTY25P	
FAM197Y1	
ASS1P6	
SNX18P1Y	
RBMY2NP	
TTTY1	
USP9YP4	
MED14P1	
HSFY5P	
ZNF885P	
ARSFP1	
ZNF736P7Y	
SURF6P1	
XGY1	
ANKRD20A6P	
TTTY8	
SAR1AP1	
ABCF1	
RBMY2KP	
TSPY21P	
TTTY19	
TSPY17P	
TTTY4	
TSPY15P	
ELOCP4	
TTTY23B	
TTTY22	
TSPY11P	
MXRA5Y	45549_f_at
DUX4L16	
TSPY10	
	48369_at
	48370_g_at
PLA2G10	
CFB	
MTCYBP1	
USP9YP17	
TTTY17A	
AGPAT5P1	
TSPY20P	
FAM41AY1	
TTTY6B	
ELOCP15	
FAM197Y4	
TRIM60P3Y	
MTND1P1	
LINC00280	
PRRC2CP1	
TSPY5P	
ZNF736P10Y	
TSPY1	
RPL23AP1	
GTF2H4	
CDIP1	46278_at
CDIP1	
CDY12P	
MTND2P3	
TIGD5	51937_at
CDY13P	
RBMY1KP	
TTTY11	
ZNF623	
TTTY21B	
ARSDP1	
TTTY5	
CDY4P	
MROH6	
RBMY1D	
PKD1P3	
CEP20	43384_at
CEP20	58628_at
CEP20	
SCRIB	
RBMY2WP	
USP9YP24	
TTTY10	
UBE2V1P3	
FAM8A4P	
ARSLP1	
TRIM60P8Y	
HLA-DPA3	
FAM197Y9	
FAM197Y3	
PAIP1P1	
NFKBIL1	
MED13P1	
TSPY6P	
LENG8-AS1	
CYCSP46	
RNU6-303P	
RNA5SP518	
RN7SL702P	
RNA5SP520	
RNA5SP521	
RNU6-109P	
RNA5-8SP6	
RNA5SP519	
RNU6-184P	
OFD1P6Y	
CORO7	46677_at
CORO7	
HSFY2	
MPIG6B	43279_at
RPL15P20	
ABCC6P2	
THEMIS	
GPM6BP2	
USP9YP2	
ELOCP14	
PRYP6	
XKRYP2	
PDXDC1	
USP9YP10	
